"id"	"symbol"	"Tau"	"class"	"whichMAX"	"nbMAX"	"maxlog10TPM"	"day"
"93"	"ENSMUSG00000025902"	"Sox17"	0.977721520304361	"specific"	"ECs"	1	0.218762593229525	"D0"
"94"	"ENSMUSG00000025903"	"Lypla1"	0.158538498028531	"housekeeping"	"ECs"	1	1.52066032339227	"D0"
"95"	"ENSMUSG00000025911"	"Adhfe1"	0.529390019749422	"intermediate"	"ECs"	1	0.432473693431837	"D0"
"96"	"ENSMUSG00000025912"	"Mybl1"	0.446240246607095	"housekeeping"	"sCs"	1	0.593692910832483	"D0"
"97"	"ENSMUSG00000025915"	"Sgk3"	0.426611236586622	"housekeeping"	"ECs"	1	1.17398481189296	"D0"
"98"	"ENSMUSG00000025917"	"Cops5"	0.0993922505700353	"housekeeping"	"sCs"	1	1.25839281957901	"D0"
"99"	"ENSMUSG00000025921"	"Rdh10"	0.250296327333906	"housekeeping"	"FAPs"	1	0.835546082207867	"D0"
"100"	"ENSMUSG00000025925"	"Terf1"	0.0845674587592473	"housekeeping"	"ECs"	1	0.992699411053923	"D0"
"101"	"ENSMUSG00000025930"	"Msc"	0.513057101247025	"intermediate"	"FAPs"	1	0.783919479374382	"D0"
"102"	"ENSMUSG00000025931"	"Paqr8"	0.528905316307621	"intermediate"	"FAPs"	1	0.364630199463669	"D0"
"103"	"ENSMUSG00000025934"	"Gsta3"	0.953953393340808	"specific"	"FAPs"	1	0.718162403894505	"D0"
"104"	"ENSMUSG00000025935"	"Tram1"	0.200119018630424	"housekeeping"	"FAPs"	1	1.77537815050477	"D0"
"105"	"ENSMUSG00000025937"	"Lactb2"	0.201825092957314	"housekeeping"	"FAPs"	1	0.801997145271989	"D0"
"106"	"ENSMUSG00000025938"	"Slco5a1"	0.66952537774816	"intermediate"	"FAPs"	1	0.511872461093768	"D0"
"107"	"ENSMUSG00000025949"	"Pikfyve"	0.0645000052601388	"housekeeping"	"ECs"	1	1.06144894138639	"D0"
"108"	"ENSMUSG00000025956"	"Mettl21a"	0.167811646074293	"housekeeping"	"FAPs"	1	0.790514156217044	"D0"
"109"	"ENSMUSG00000025958"	"Creb1"	0.194730871916633	"housekeeping"	"ECs"	1	1.57532596266949	"D0"
"110"	"ENSMUSG00000025969"	"Nrp2"	0.438585057118963	"housekeeping"	"ECs"	1	1.39747949517139	"D0"
"111"	"ENSMUSG00000025971"	"Maip1"	0.157312904195688	"housekeeping"	"FAPs"	1	0.547143795298763	"D0"
"112"	"ENSMUSG00000025978"	"Rftn2"	0.282768957685315	"housekeeping"	"FAPs"	1	0.951285413194377	"D0"
"113"	"ENSMUSG00000025979"	"Mob4"	0.0925847874984618	"housekeeping"	"ECs"	1	1.33582978665789	"D0"
"114"	"ENSMUSG00000025981"	"Coq10b"	0.0486988557899093	"housekeeping"	"ECs"	1	1.53064526276721	"D0"
"115"	"ENSMUSG00000025982"	"Sf3b1"	0.120850120624269	"housekeeping"	"ECs"	1	2.03176177105953	"D0"
"116"	"ENSMUSG00000025995"	"Wdr75"	0.211649438217913	"housekeeping"	"sCs"	1	1.20424784369504	"D0"
"117"	"ENSMUSG00000025997"	"Ikzf2"	0.565019740252762	"intermediate"	"FAPs"	1	0.319146830639986	"D0"
