Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Ligand-expressing cells,Ligand detection rate,Ligand average expression value,Ligand total expression value,Ligand derived specificity of average expression value,Ligand derived specificity of total expression value,Receptor-expressing cells,Receptor detection rate,Receptor average expression value,Receptor total expression value,Receptor derived specificity of average expression value,Receptor derived specificity of total expression value,Edge average expression weight,Edge average expression derived specificity,Edge total expression weight,Edge total expression derived specificity
MuSCs,Timp1,Cd63,FAPs,3,1.0,27.9626899748785,83.8880699246355,0.1364779450207389,0.1364779450207389,3,1.0,1249.032367575123,3747.09710272537,0.5646810710139497,0.5646810710139496,34926.30486309166,0.07706651216409378,314336.743767825,0.07706651216409377
MuSCs,Timp1,Cd63,MuSCs,3,1.0,27.9626899748785,83.8880699246355,0.1364779450207389,0.1364779450207389,3,1.0,890.0346307713886,2670.103892314166,0.4023800516228535,0.4023800516228534,24887.76244716579,0.05491600256282587,223989.8620244922,0.05491600256282587
ECs,Timp3,Agtr2,FAPs,3,1.0,12270.49579829227,36811.4873948768,0.4385911536931632,0.4385911536931633,2,0.6666666666666666,9.021636975888427,27.06491092766528,0.8507823800510838,0.8507823800510838,110699.9586063571,0.3731456256084201,996299.6274572138,0.3731456256084201
ECs,Timp3,Agtr2,MuSCs,3,1.0,12270.49579829227,36811.4873948768,0.4385911536931632,0.4385911536931633,1,0.3333333333333333,1.582293226975833,4.7468796809275,0.1492176199489162,0.1492176199489162,19415.52239327327,0.06544552808474313,174739.7015394595,0.06544552808474313
FAPs,Timp3,Agtr2,FAPs,3,1.0,4596.366156815356,13789.09847044607,0.1642904711148201,0.1642904711148202,2,0.6666666666666666,9.021636975888427,27.06491092766528,0.8507823800510838,0.8507823800510838,41466.7468750476,0.1397754380347805,373200.7218754284,0.1397754380347805
FAPs,Timp3,Agtr2,MuSCs,3,1.0,4596.366156815356,13789.09847044607,0.1642904711148201,0.1642904711148202,1,0.3333333333333333,1.582293226975833,4.7468796809275,0.1492176199489162,0.1492176199489162,7272.799038629879,0.02451503308003963,65455.19134766891,0.02451503308003963
MuSCs,Timp3,Agtr2,FAPs,3,1.0,11110.20893418957,33330.6268025687,0.3971183751920166,0.3971183751920166,2,0.6666666666666666,9.021636975888427,27.06491092766528,0.8507823800510838,0.8507823800510838,100232.2717305306,0.3378613164078832,902090.445574775,0.3378613164078832
MuSCs,Timp3,Agtr2,MuSCs,3,1.0,11110.20893418957,33330.6268025687,0.3971183751920166,0.3971183751920166,1,0.3333333333333333,1.582293226975833,4.7468796809275,0.1492176199489162,0.1492176199489162,17579.60834685455,0.05925705878413346,158216.4751216909,0.05925705878413346
ECs,Timp3,Kdr,ECs,3,1.0,12270.49579829227,36811.4873948768,0.4385911536931632,0.4385911536931633,3,1.0,32046.791770475,96140.375311425,0.9924835139366248,0.9924835139366248,393230023.7683607,0.4352944893989089,3539070213.915246,0.435294489398909
ECs,Timp3,Kdr,FAPs,3,1.0,12270.49579829227,36811.4873948768,0.4385911536931632,0.4385911536931633,3,1.0,49.13287405654427,147.3986221696328,0.001521636482138315,0.001521636482138315,602884.7246688495,0.00066737630020265,5425962.522019646,0.0006673763002026501
ECs,Timp3,Kdr,MuSCs,3,1.0,12270.49579829227,36811.4873948768,0.4385911536931632,0.4385911536931633,3,1.0,193.5706674493773,580.712002348132,0.005994849581236828,0.005994849581236828,2375208.061610214,0.002629287994051637,21376872.55449193,0.002629287994051637
FAPs,Timp3,Kdr,ECs,3,1.0,4596.366156815356,13789.09847044607,0.1642904711148201,0.1642904711148202,3,1.0,32046.791770475,96140.375311425,0.9924835139366248,0.9924835139366248,147298789.1283202,0.1630555840783403,1325689102.154881,0.1630555840783403
FAPs,Timp3,Kdr,FAPs,3,1.0,4596.366156815356,13789.09847044607,0.1642904711148201,0.1642904711148202,3,1.0,49.13287405654427,147.3986221696328,0.001521636482138315,0.001521636482138315,225832.6795005713,0.0002499903745160014,2032494.115505141,0.0002499903745160014
FAPs,Timp3,Kdr,MuSCs,3,1.0,4596.366156815356,13789.09847044607,0.1642904711148201,0.1642904711148202,3,1.0,193.5706674493773,580.712002348132,0.005994849581236828,0.005994849581236828,889721.6648164778,0.0009848966619638807,8007494.983348301,0.000984896661963881
MuSCs,Timp3,Kdr,ECs,3,1.0,11110.20893418957,33330.6268025687,0.3971183751920166,0.3971183751920166,3,1.0,32046.791770475,96140.375311425,0.9924835139366248,0.9924835139366248,356046552.2404441,0.3941334404593757,3204418970.163996,0.3941334404593757
MuSCs,Timp3,Kdr,FAPs,3,1.0,11110.20893418957,33330.6268025687,0.3971183751920166,0.3971183751920166,3,1.0,49.13287405654427,147.3986221696328,0.001521636482138315,0.001521636482138315,545876.4963054289,0.0006042698074196638,4912888.466748861,0.0006042698074196638
MuSCs,Timp3,Kdr,MuSCs,3,1.0,11110.20893418957,33330.6268025687,0.3971183751920166,0.3971183751920166,3,1.0,193.5706674493773,580.712002348132,0.005994849581236828,0.005994849581236828,2150610.55889311,0.00238066492522131,19355495.03003799,0.00238066492522131
ECs,Ifnk,Ifnar1,ECs,3,1.0,15.30905953949699,45.92717861849097,0.3592813140436488,0.3592813140436488,3,1.0,1210.357882708857,3631.07364812657,0.5379603007052004,0.5379603007052004,18529.4408904894,0.1932790837406808,166764.9680144046,0.1932790837406808
ECs,Ifnk,Ifnar1,FAPs,3,1.0,15.30905953949699,45.92717861849097,0.3592813140436488,0.3592813140436488,3,1.0,575.955145318703,1727.865435956109,0.2559912300276951,0.2559912300276951,8817.331611763666,0.09197286550800025,79355.98450587298,0.09197286550800025
ECs,Ifnk,Ifnar1,MuSCs,3,1.0,15.30905953949699,45.92717861849097,0.3592813140436488,0.3592813140436488,3,1.0,463.5888348463827,1390.766504539148,0.2060484692671045,0.2060484692671045,7097.10907450931,0.07402936479496769,63873.98167058378,0.07402936479496768
FAPs,Ifnk,Ifnar1,ECs,3,1.0,6.263357247726616,18.79007174317985,0.1469918655997316,0.1469918655997316,3,1.0,1210.357882708857,3631.07364812657,0.5379603007052004,0.5379603007052004,7580.903817007558,0.07907578821925,68228.13435306803,0.07907578821925
FAPs,Ifnk,Ifnar1,FAPs,3,1.0,6.263357247726616,18.79007174317985,0.1469918655997316,0.1469918655997316,3,1.0,575.955145318703,1727.865435956109,0.2559912300276951,0.2559912300276951,3607.412833797335,0.03762862847894093,32466.71550417601,0.03762862847894093
FAPs,Ifnk,Ifnar1,MuSCs,3,1.0,6.263357247726616,18.79007174317985,0.1469918655997316,0.1469918655997316,3,1.0,463.5888348463827,1390.766504539148,0.2060484692671045,0.2060484692671045,2903.622488700228,0.03028744890154065,26132.60239830205,0.03028744890154064
MuSCs,Ifnk,Ifnar1,ECs,3,1.0,21.03781352839227,63.1134405851768,0.4937268203566196,0.4937268203566196,3,1.0,1210.357882708857,3631.07364812657,0.5379603007052004,0.5379603007052004,25463.2834390486,0.2656054287452695,229169.5509514374,0.2656054287452695
MuSCs,Ifnk,Ifnar1,FAPs,3,1.0,21.03781352839227,63.1134405851768,0.4937268203566196,0.4937268203566196,3,1.0,575.955145318703,1727.865435956109,0.2559912300276951,0.2559912300276951,12116.83694793294,0.1263897360407539,109051.5325313965,0.1263897360407539
MuSCs,Ifnk,Ifnar1,MuSCs,3,1.0,21.03781352839227,63.1134405851768,0.4937268203566196,0.4937268203566196,3,1.0,463.5888348463827,1390.766504539148,0.2060484692671045,0.2060484692671045,9752.895461342838,0.1017316555705962,87776.05915208554,0.1017316555705962
ECs,Ifnk,Ifnar2,ECs,3,1.0,15.30905953949699,45.92717861849097,0.3592813140436488,0.3592813140436488,3,1.0,560.0239288074307,1680.071786422292,0.5313761381360615,0.5313761381360617,8573.43966965598,0.1909135171609636,77160.95702690382,0.1909135171609637
ECs,Ifnk,Ifnar2,FAPs,3,1.0,15.30905953949699,45.92717861849097,0.3592813140436488,0.3592813140436488,3,1.0,274.1048093186317,822.314427955895,0.2600830920393405,0.2600830920393405,4196.286845921402,0.0934429950684295,37766.58161329261,0.0934429950684295
ECs,Ifnk,Ifnar2,MuSCs,3,1.0,15.30905953949699,45.92717861849097,0.3592813140436488,0.3592813140436488,3,1.0,219.7837141188927,659.351142356678,0.2085407698245978,0.2085407698245979,3364.681965257913,0.0749248018142556,30282.13768732122,0.07492480181425562
FAPs,Ifnk,Ifnar2,ECs,3,1.0,6.263357247726616,18.79007174317985,0.1469918655997316,0.1469918655997316,3,1.0,560.0239288074307,1680.071786422292,0.5313761381360615,0.5313761381360617,3507.629933396356,0.07810796987980036,31568.6694005672,0.07810796987980037
FAPs,Ifnk,Ifnar2,FAPs,3,1.0,6.263357247726616,18.79007174317985,0.1469918655997316,0.1469918655997316,3,1.0,274.1048093186317,822.314427955895,0.2600830920393405,0.2600830920393405,1716.816344082574,0.03823009890980935,15451.34709674316,0.03823009890980935
FAPs,Ifnk,Ifnar2,MuSCs,3,1.0,6.263357247726616,18.79007174317985,0.1469918655997316,0.1469918655997316,3,1.0,219.7837141188927,659.351142356678,0.2085407698245978,0.2085407698245979,1376.583918758841,0.03065379681012185,12389.25526882957,0.03065379681012185
MuSCs,Ifnk,Ifnar2,ECs,3,1.0,21.03781352839227,63.1134405851768,0.4937268203566196,0.4937268203566196,3,1.0,560.0239288074307,1680.071786422292,0.5313761381360615,0.5313761381360617,11781.67898568835,0.2623546510952975,106035.1108711952,0.2623546510952976
MuSCs,Ifnk,Ifnar2,FAPs,3,1.0,21.03781352839227,63.1134405851768,0.4937268203566196,0.4937268203566196,3,1.0,274.1048093186317,822.314427955895,0.2600830920393405,0.2600830920393405,5766.565865680892,0.1284099980611016,51899.09279112803,0.1284099980611016
MuSCs,Ifnk,Ifnar2,MuSCs,3,1.0,21.03781352839227,63.1134405851768,0.4937268203566196,0.4937268203566196,3,1.0,219.7837141188927,659.351142356678,0.2085407698245978,0.2085407698245979,4623.768794210739,0.1029621712002204,41613.91914789665,0.1029621712002204
ECs,Nmb,Nmbr,FAPs,3,1.0,18.62385697369996,55.87157092109989,0.04612334700413514,0.04612334700413515,1,0.3333333333333333,0.3488560931282167,1.04656827938465,0.04213645162765367,0.04213645162765366,6.497045982823662,0.001943474179945225,58.47341384541296,0.001943474179945225
ECs,Nmb,Nmbr,MuSCs,3,1.0,18.62385697369996,55.87157092109989,0.04612334700413514,0.04612334700413515,3,1.0,7.930343498971903,23.79103049691571,0.9578635483723463,0.9578635483723463,147.693583077164,0.04417987282418991,1329.242247694476,0.04417987282418992
FAPs,Nmb,Nmbr,FAPs,3,1.0,371.4416093408154,1114.324828022446,0.9199023737990631,0.9199023737990631,1,0.3333333333333333,0.3488560931282167,1.04656827938465,0.04213645162765367,0.04213645162765366,129.5796686598942,0.03876142187574801,1166.217017939048,0.03876142187574801
FAPs,Nmb,Nmbr,MuSCs,3,1.0,371.4416093408154,1114.324828022446,0.9199023737990631,0.9199023737990631,3,1.0,7.930343498971903,23.79103049691571,0.9578635483723463,0.9578635483723463,2945.659551883597,0.8811409519233151,26510.93596695237,0.8811409519233151
MuSCs,Nmb,Nmbr,FAPs,3,1.0,13.71826108996508,41.15478326989525,0.03397427919680169,0.0339742791968017,1,0.3333333333333333,0.3488560931282167,1.04656827938465,0.04213645162765367,0.04213645162765366,4.785698968358051,0.001431555571960435,43.07129071522246,0.001431555571960435
MuSCs,Nmb,Nmbr,MuSCs,3,1.0,13.71826108996508,41.15478326989525,0.03397427919680169,0.0339742791968017,3,1.0,7.930343498971903,23.79103049691571,0.9578635483723463,0.9578635483723463,108.7905226520038,0.03254272362484126,979.1147038680344,0.03254272362484126
ECs,Nmb,Grpr,ECs,3,1.0,18.62385697369996,55.87157092109989,0.04612334700413514,0.04612334700413515,1,0.3333333333333333,2.679004558230073,8.037013674690218,0.7094124110707419,0.7094124110707418,49.89339772436713,0.03272047480485599,449.0405795193042,0.03272047480485599
