Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand expressing cells,Delta ligand detection rate,Delta ligand expression,Delta ligand specificity,Delta receptor expressing cells,Delta receptor detection rate,Delta receptor expression,Delta receptor specificity,Delta edge expression weight,Delta edge specificity weight
Resolving-Mac,Pf4,Sdc2,Inflammatory-Mac,3.0,1.0,4309.21419250592,0.7873077454144343,3.0,1.0,5.754440001434325,0.001638724078741174,24797.11452410458,0.001290180159790059
Neutrophils,B2m,Gm11127,Resolving-Mac,3.0,1.0,20472.0355770462,0.2033981619358286,2.0,0.6666666666666666,1.171485288388913,0.3648354070357528,23982.68850188406,0.07420685120018201
ECs,Ltf,Lrp1,MuSCs,2.0,0.6666666666666666,3.770677674134593,0.005138612445898191,3.0,1.0,6303.082672237313,0.04995916456522845,23766.89311042985,0.0002567207848215588
FAPs,Fn1,Tnfrsf11b,Resolving-Mac,3.0,1.0,55089.494972010056,0.408542192033849,1.0,0.3333333333333333,0.42686015269,0.00150898599634883,23515.5102353672,0.0006164844466967327
ECs,Bmp10,Bmpr2,FAPs,2.0,0.6666666666666666,5.025328936451356,0.037612376478382815,3.0,1.0,4646.2987110213035,0.1848168654320703,23349.179359891994,0.006951401522185646
ECs,Gnai2,Lpar3,ECs,3.0,1.0,6066.148175511123,0.2545220946394023,2.0,0.6666666666666666,3.8473215898241735,0.0523998536005095,23338.42284271646,0.013336920497199709
ECs,Gdf6,Bmpr2,ECs,1.0,0.3333333333333333,3.5664271632803337,0.2488347253279371,3.0,1.0,6523.973256711023,0.2595055467716481,23267.275435248655,0.06457399145199917
Resolving-Mac,Gpc3,Igf1r,Neutrophils,3.0,1.0,3.798541763370483,0.0046129976469655954,3.0,1.0,6073.102603657593,0.5307796710509003,23068.933873227394,0.002448485373614976
Inflammatory-Mac,Tgfb1,Sdc2,Inflammatory-Mac,3.0,1.0,3983.632549871783,0.2976015999116935,3.0,1.0,5.754440001434325,0.001638724078741174,22923.574495998007,0.0004876869076471894
Neutrophils,Fn1,Sdc2,Inflammatory-Mac,3.0,1.0,3926.963889919477,0.029122257091676082,3.0,1.0,5.754440001434325,0.001638724078741174,22597.47809234078,4.772334392342049e-05
