,Sender group,Ligand,Receptor,Target group,weight D0,weight D2,weight D4,weight D7
50,MuSCs,Igf2,Igf2r,MuSCs,792.37865193312,50.35387678223499,1281.845346667685,20255.84003976241
51,MuSCs,Serping1,Lrp1,MuSCs,8826.330140990316,1126.493615761159,484.5744266389319,3520.909998520345
52,MuSCs,Hspg2,Itgb1,MuSCs,6467.484769872976,2502.63583768872,2305.11905453423,20632.95660452692
53,MuSCs,Cxcl12,Itgb1,MuSCs,17070.37689779128,1025.549220781186,199.1964051196973,5561.911402361056
54,MuSCs,Sema3a,Plxna2,MuSCs,6.524579543628223,3.477178063434667,30.10830997368577,359.2326293444816
55,MuSCs,Pdpn,Clec1b,MuSCs,1.888147427625334,-1.0,0.2364685636903333,-1.0
56,MuSCs,Il34,Ptprz1,MuSCs,339.430526859403,7.41088583588522,1.015375047737778,109.1472485687636
57,Neutrophils,Icam5,Itgb2,MuSCs,-1.0,0.4461508197666667,-1.0,-1.0
58,Neutrophils,Itgb2,Thy1,MuSCs,-1.0,8220.519821464366,-1.0,-1.0
59,Neutrophils,Rtn4,Rtn4rl1,MuSCs,-1.0,91.248618428152,-1.0,-1.0
60,Neutrophils,Vwf,Gp1ba,MuSCs,-1.0,29.84456980529955,-1.0,-1.0
61,Neutrophils,Tnf,Tnfrsf1a,MuSCs,-1.0,13224.75697137647,-1.0,-1.0
62,Neutrophils,Sirpa,Cd47,MuSCs,-1.0,4335.249356917388,-1.0,-1.0
63,Neutrophils,Tgfb1,Itgav,MuSCs,-1.0,3222.979435936682,-1.0,-1.0
64,Neutrophils,Thbs1,Itgb1,MuSCs,-1.0,36369.41080581959,-1.0,-1.0
65,Neutrophils,Tgm2,Itgb1,MuSCs,-1.0,14441.600334942,-1.0,-1.0
66,Neutrophils,Ccl2,Ccr2,MuSCs,-1.0,7.443782559068333,-1.0,-1.0
67,Neutrophils,Ltb,Tnfrsf1a,MuSCs,-1.0,1191.602797367785,-1.0,-1.0
68,Neutrophils,S100a9,Tlr4,MuSCs,-1.0,10722.97973899309,-1.0,-1.0
69,Neutrophils,Il1rn,Il1r1,MuSCs,-1.0,14397.38637976884,-1.0,-1.0
70,Neutrophils,Il23a,Il12rb1,MuSCs,-1.0,17.696744045076,-1.0,-1.0
71,Neutrophils,Lcn2,Lrp2,MuSCs,-1.0,9.319979284644,-1.0,-1.0
72,Resolving-Mac,Slamf7,Slamf7,MuSCs,-1.0,-1.0,6.178753640194222,-1.0
73,Resolving-Mac,Nampt,Insr,MuSCs,-1.0,132.8108775903467,142.125761248932,421.2675880119173
74,Resolving-Mac,Il1a,Il1r1,MuSCs,-1.0,38.62684949407266,18.904926336584,69.77818115277044
75,Resolving-Mac,Il1b,Il1r1,MuSCs,-1.0,943.3769070655596,799.0309531540022,1869.322863355869
76,Resolving-Mac,Jag1,Notch3,MuSCs,-1.0,723.5196432219499,69.01617394022134,165.3294171097603
77,Resolving-Mac,Gpi1,Amfr,MuSCs,-1.0,622.968052679156,428.7244195571345,585.5592958990959
78,Resolving-Mac,Lgals3,Lag3,MuSCs,-1.0,1539.469888512385,491.8749786657123,1382.15112040233
79,Resolving-Mac,Dnajb11,Prtg,MuSCs,-1.0,4.34198579561,4.992689094446666,6.454409473101332
80,Resolving-Mac,Cd44,Sele,MuSCs,-1.0,3.624812910337667,-1.0,3.590562381902222
81,Resolving-Mac,Cd84,Cd84,MuSCs,-1.0,6.118362561474112,13.050354996266,-1.0
82,Resolving-Mac,Gnai2,Cav1,MuSCs,-1.0,9625.06094803185,9754.86291016235,16742.54362357588
83,Resolving-Mac,Alcam,Nrp1,MuSCs,-1.0,524.1114215265648,118.9002349418028,291.430547623608
84,Resolving-Mac,Lgals3bp,Itgb1,MuSCs,-1.0,11400.05851990251,18454.65533650416,25165.70673760856
85,Resolving-Mac,Lgals1,Itgb1,MuSCs,-1.0,24372.71237798871,5613.465416111939,9097.262076836423
86,Resolving-Mac,Ccl4,Ccr5,MuSCs,-1.0,-1.0,2.641204283816667,-1.0
