"gene"	"Young.FAPs.D0_1"	"Young.FAPs.D0_2"	"Young.FAPs.D0_3"	"Young.MuSCs.D0_2"	"Young.MuSCs.D0_1"	"Young.MuSCs.D0_3"	"Young.ECs.D0_2"	"Young.ECs.D0_1"	"Young.ECs.D0_3"
"ENSMUSG00000025900"	0	0	0	0	0.054992	0	0	0.084067	0.103964
"ENSMUSG00000025902"	0	0.241908	0	0.580941	0.130699	0	0	51.005398	44.403549
"ENSMUSG00000025903"	16.163216	19.315016	19.848135	16.901686	11.297743	29.091318	49.701813	18.576557	36.037308
"ENSMUSG00000025905"	0	0	0	0	0	0	0	0	0
"ENSMUSG00000025909"	0	0.051109	0.112598	0.039245	0	0	0	0.141315	0
"ENSMUSG00000025911"	0.659793	1.125758	0.904929	0.490278	0.278741	0.343975	0.61264	2.780089	2.919895
"ENSMUSG00000025912"	1.113405	0.937662	1.048799	3.806831	0.720944	9.105875	0.507211	1.172778	3.190612
"ENSMUSG00000025915"	5.259788	4.540296	6.300389	3.66435	2.004331	2.160628	47.86335	8.120529	6.95064
"ENSMUSG00000025917"	12.387078	11.347861	15.243987	18.495363	8.459262	32.126316	15.11938	8.608416	14.298916
"ENSMUSG00000025921"	6.63194	5.804091	5.194996	3.576145	1.207499	10.881825	2.26364	3.016941	3.511775
"ENSMUSG00000025925"	10.584131	5.418875	5.216471	7.973341	4.931777	10.919217	4.387622	11.882574	13.219944
"ENSMUSG00000025929"	0	0	0	0	0	0	0	0	0
"ENSMUSG00000025930"	7.063391	6.08474	3.050654	25.729471	5.410903	0.79016	0	0	0.22533
"ENSMUSG00000025931"	1.878048	1.010234	1.199684	0.933942	0.634524	1.656191	0	2.86385	3.382248
"ENSMUSG00000025934"	3.795895	6.518059	3.050212	0.030627	0.291663	0.493231	0	0.007167	0
"ENSMUSG00000025935"	48.400341	57.57478	72.279404	21.434963	11.532568	31.043537	51.554443	22.66811	29.093969
"ENSMUSG00000025937"	4.1506	7.411753	4.946111	4.227199	3.757957	4.01065	2.893338	2.558874	3.022131
"ENSMUSG00000025938"	1.719992	2.456494	2.695617	1.884384	1.447677	0.478453	0	0.418836	1.358274
"ENSMUSG00000025949"	11.732722	10.479454	9.162486	12.094892	4.753992	7.305514	19.130466	6.308322	9.647087
"ENSMUSG00000025956"	5.470414	4.297174	5.889634	5.071016	2.51991	4.045848	5.078068	2.497593	3.039378
"ENSMUSG00000025958"	16.217926	15.476435	17.575033	26.841173	13.367575	18.505424	83.603218	21.767796	26.966928
"ENSMUSG00000025961"	0	0	0	0	0	0.442899	0	0	0
"ENSMUSG00000025963"	0	0	0	0	0	0	0	0	0
"ENSMUSG00000025969"	5.962319	5.611667	4.468869	3.505344	4.899248	6.760712	6.459409	33.579319	63.522842
"ENSMUSG00000025971"	3.39985	1.962451	2.412467	2.797413	1.084695	3.050166	1.341765	1.458059	2.496923
"ENSMUSG00000025977"	0	0.357128	0	0.507952	0.1683	0	2.151535	0	0
"ENSMUSG00000025978"	8.887178	6.896826	8.163424	6.258237	7.845019	3.574241	4.75759	2.010631	1.650339
"ENSMUSG00000025979"	10.759146	11.817294	13.634946	23.459486	11.763762	26.514425	37.421543	15.00784	15.721354
"ENSMUSG00000025981"	25.407394	22.952826	27.810141	40.262466	31.338697	21.503674	114.367828	13.276297	23.527954
"ENSMUSG00000025982"	55.461056	50.595646	57.579468	84.712944	58.430634	59.045792	252.849289	57.508442	83.277054
"ENSMUSG00000025983"	0	0.510008	0.122563	0.632966	0.1344	0.077159	0	0	0.31631
"ENSMUSG00000025995"	13.06619	8.872709	7.065086	18.085457	6.683235	27.949028	5.463604	5.447896	9.869781
"ENSMUSG00000025997"	1.216147	1.14543	0.917423	1.600602	1.471368	0.263275	0.160183	0	0.605151
"ENSMUSG00000026000"	5.172795	3.109959	3.204826	4.590277	2.883695	1.512825	0.738825	1.800853	1.325285
"ENSMUSG00000026003"	11.163159	11.651394	14.507367	33.076057	8.609722	19.623373	22.981424	7.989097	13.828657
"ENSMUSG00000026004"	23.048491	12.863397	16.292284	38.720638	17.790947	10.589092	99.119347	23.044722	28.881205
"ENSMUSG00000026011"	0	0	0	0	0	0	0	0	0
"ENSMUSG00000026020"	29.902861	23.424883	29.307919	56.917915	28.409464	64.349876	8.835361	6.753726	33.462009
"ENSMUSG00000026023"	0.34212	0	0	0.266844	1.448296	0	0	0.617587	0
"ENSMUSG00000026024"	3.346478	3.673583	2.014133	3.913511	2.042997	2.53336	15.921894	4.229886	5.45487
"ENSMUSG00000026028"	13.933578	14.253514	16.350496	14.223529	11.545798	14.735078	17.994337	13.881817	17.879423
"ENSMUSG00000026029"	2.47822	5.449884	4.192728	3.374845	0.945435	5.966077	15.232371	11.653233	24.073006
"ENSMUSG00000026032"	8.446754	6.514805	5.258899	10.183566	4.875251	10.555087	7.009125	4.886472	5.76228
"ENSMUSG00000026036"	5.433909	3.891756	4.36437	5.090207	1.968953	5.165869	2.339072	1.82308	2.446372
"ENSMUSG00000026037"	4.456942	4.433331	4.127484	6.831882	2.748155	16.807108	2.715757	2.657818	3.319718
"ENSMUSG00000026039"	1.463255	0.886314	1.992059	6.162251	0.436171	11.436132	0.147617	0.543402	5.984648
"ENSMUSG00000026042"	192.028702	212.463013	252.365097	73.695084	18.361876	37.966431	0.070672	1.350474	9.571959
"ENSMUSG00000026043"	1908.657715	2197.561279	2403.216064	202.741623	71.552231	50.113323	0	1.359214	16.650663
"ENSMUSG00000026047"	11.300189	8.653049	10.511374	9.723864	3.81355	13.347341	1.419625	3.173633	7.951587
"ENSMUSG00000026049"	3.624225	1.865615	1.027055	7.454353	2.054494	20.288677	8.568932	2.353742	4.456261
"ENSMUSG00000026058"	0	0	0	0	0	0.048086	0	0	0
"ENSMUSG00000026062"	0	0	0	0.901687	0.429276	1.615938	0.048859	0	0.191133
"ENSMUSG00000026069"	1.260769	5.537981	2.948604	0	0	0	4.672014	0	0
"ENSMUSG00000026072"	23.752892	25.687393	25.324591	7.700584	8.481098	20.510687	0.424988	7.629099	13.473327
"ENSMUSG00000026074"	53.938732	50.101887	41.690174	118.514595	39.364048	73.660172	45.275303	32.046741	71.54744
"ENSMUSG00000026078"	6.488839	7.613313	5.196757	7.817442	3.926697	5.716389	3.49465	3.748055	4.916391
"ENSMUSG00000026080"	1.512104	1.074028	0.96953	0.155318	0.184819	0	0	0	0
"ENSMUSG00000026082"	14.141714	7.98924	10.745579	17.159958	7.37285	11.670754	14.446199	5.935255	7.854655
"ENSMUSG00000026083"	11.575557	11.020499	12.806094	17.46051	8.094418	20.319239	19.033199	8.958176	18.009983
"ENSMUSG00000026085"	0	0	0	0	0	0	0	0	0
"ENSMUSG00000026087"	16.116766	12.841322	14.811954	18.568859	7.431286	27.998226	11.926514	5.443669	15.945764
"ENSMUSG00000026088"	7.22951	7.059359	6.599426	5.318612	2.986392	5.31452	11.58802	10.414202	16.535946
"ENSMUSG00000026090"	0	0	0	0	0.307481	0.145259	0	0	0
"ENSMUSG00000026094"	6.403095	5.457472	6.257021	19.821209	3.285774	11.95458	487.975464	8.681684	7.185076
"ENSMUSG00000026095"	9.672691	8.282873	8.36222	10.834297	3.894933	13.373442	22.427637	5.24034	5.012487
"ENSMUSG00000026096"	9.148458	3.873715	3.002491	4.804275	4.65442	5.557992	2.611772	2.79278	2.229014
"ENSMUSG00000026097"	2.495168	1.20567	0.910598	2.082184	1.953034	4.188827	19.313515	1.754428	0.177223
"ENSMUSG00000026100"	0	0	0	0	0	0	0	0	0
"ENSMUSG00000026107"	27.91423	22.017899	17.309988	9.466215	10.205747	14.917094	254.833359	40.152878	40.312054
"ENSMUSG00000026109"	12.433929	13.990332	13.740138	6.337716	2.078149	0	0	0.749891	0.884488
