"gene"	"Old.Resolving-Mac.D4_2"	"Old.Inflammatory-Mac.D4_3"	"Old.Resolving-Mac.D4_3"	"Old.Inflammatory-Mac.D4_2"	"Old.Inflammatory-Mac.D4_1"	"Old.Resolving-Mac.D4_1"	"Old.FAPs.D4_1"	"Old.FAPs.D4_2"	"Old.FAPs.D4_3"	"Old.MuSCs.D4_2"	"Old.MuSCs.D4_1"	"Old.ECs.D4_1"	"Old.ECs.D4_3"	"Old.ECs.D4_2"
"ENSMUSG00000006471"	5.067448	2.64919	6.705904	8.214398	6.186554	5.058873	3.342665	2.087612	3.388333	5.260368	5.292561	2.753953	3.27211	3.399105
"ENSMUSG00000006538"	0	0	0	0	0	0	0	0	0	0	0.184092	0	0	0
"ENSMUSG00000006542"	0	0	0	0.844123	0.677457	0.717469	0	0	0	0.498143	0.134568	0	0	0
"ENSMUSG00000006546"	0	0	0	0	0	0	0	0	0	0	0	0.551621	0	0
"ENSMUSG00000006576"	0	0.030023	0	0	0	0	4.192291	1.702648	6.36316	6.183688	8.166629	0.058867	0.598589	0.975111
"ENSMUSG00000007097"	0	0	0	0.200254	0	0.068377	0.652935	0.290489	1.31445	20.711851	47.234093	1.225362	1.381466	3.157739
"ENSMUSG00000007107"	0	0	0	0	0	0	0.505273	0.244327	0.562999	0.309308	0.625873	0	0.363565	0
"ENSMUSG00000008136"	0	0.021981	0	0	0	0	18.578285	10.874994	30.187574	2.148934	0.951022	0	0	1.026489
"ENSMUSG00000008475"	153.415298	58.978569	144.302597	91.066383	154.567184	92.004898	57.32048	24.076456	47.213165	35.226498	22.084438	16.312485	40.437611	46.719585
"ENSMUSG00000009030"	8.376105	4.182301	5.356864	7.648315	9.042192	6.711031	6.497292	3.198745	7.074941	7.966881	3.934816	3.72619	10.690427	7.18899
"ENSMUSG00000009214"	0	0	0	0	0	0.619928	0	0.086633	0.801506	2.73011	1.375398	0	0	0
"ENSMUSG00000009216"	0	0	0	0	0	0	0	0	0	0.249607	0	0	0	0
"ENSMUSG00000009418"	17.334988	8.59789	23.122919	16.304279	20.04693	17.723698	37.949341	23.180874	47.861156	8.124228	11.835509	25.632978	54.715946	41.018253
"ENSMUSG00000009551"	2.104009	0	1.082517	0	0	0.48904	1.71893	0	0.405876	0	0.607786	9.616446	8.804411	8.639956
"ENSMUSG00000009563"	6.519397	3.866438	9.660288	4.226096	4.804839	5.738071	6.592619	4.646564	9.747842	5.417702	2.871232	2.600531	9.339229	9.766121
"ENSMUSG00000009614"	0	0	0	0.444346	0	0.365498	6.215198	2.173754	4.875216	1.663684	0.86682	0.083246	1.796167	1.252647
"ENSMUSG00000009633"	1.31914	0.086812	1.701333	0	0	0	4.475877	1.9242	4.282986	3.38497	13.944389	0.469665	0	0.546693
"ENSMUSG00000009772"	40.451298	8.360637	34.893646	25.310917	57.294918	28.080927	5.744318	1.759049	4.683025	0.739757	0.387318	2.884258	2.682759	6.192754
"ENSMUSG00000009905"	3.202939	1.682259	2.624278	4.430826	4.48812	3.70627	7.283695	3.072834	7.056321	3.421962	2.170459	2.76952	4.282094	5.131435
"ENSMUSG00000009907"	32.724773	13.721419	28.890306	26.13126	34.131367	25.492226	15.282578	6.481333	15.224179	14.14058	9.512433	8.877965	18.755264	14.662346
"ENSMUSG00000010175"	0	0	0	0	0	0	0	0.233075	0.297621	2.010329	13.82766	0.048521	0.918834	0.239855
"ENSMUSG00000010290"	1.742009	1.194368	1.788704	2.404554	3.42346	2.58872	4.938942	1.755826	4.547524	4.455647	2.84551	1.307331	3.213943	3.125943
"ENSMUSG00000010311"	0	0	0	0	0	0	2.80319	1.148705	2.411357	0	1.448123	0.053427	0	0
"ENSMUSG00000010453"	9.133405	3.369242	10.698749	7.379697	12.209248	8.728981	10.641544	4.931761	11.645137	12.473029	10.065146	5.42411	14.938982	8.80075
"ENSMUSG00000010609"	9.623673	7.14041	11.225303	6.29522	19.814735	7.413568	6.646345	1.998127	5.47424	1.714847	2.432053	1.6148	3.40838	2.7932
"ENSMUSG00000012187"	0	0	0	0.136573	0	0	0	0	0	0.224081	0	0	0	0
"ENSMUSG00000013275"	3.976666	0.657237	1.86792	2.000206	4.72155	2.320058	7.79947	3.279598	8.164085	6.437071	9.752792	2.388372	9.35623	4.079303
"ENSMUSG00000013465"	6.551596	3.711971	7.204591	7.00484	10.973839	7.709624	20.841864	8.056314	15.312966	12.870185	6.517306	6.502212	18.007517	16.622066
"ENSMUSG00000013698"	16.998274	10.144373	15.4544	48.552433	43.704533	42.198345	37.484028	15.751363	34.205112	35.515881	25.505606	30.564299	47.194275	46.082233
"ENSMUSG00000013973"	6.142193	2.673431	9.443627	8.044521	6.556377	3.269114	8.655081	2.966762	5.303872	7.60039	5.099717	3.426332	5.65206	7.34856
"ENSMUSG00000013997"	5.713952	3.293542	7.608143	5.038708	10.002323	5.874553	8.059863	2.759388	9.13595	8.481257	6.62967	2.415976	9.059895	7.194322
"ENSMUSG00000014602"	1.295224	0.13268	0.555113	1.194176	1.891349	1.069991	0	0.027181	0.046799	2.322696	1.548574	0.028952	0	0.133278
"ENSMUSG00000014852"	0	0	0	0	0.172367	0.095523	0.047544	0	0	0	0.030414	0.05894	0	0
"ENSMUSG00000014867"	57.111305	21.743765	50.996304	22.425451	44.009441	28.124962	103.664169	48.381065	129.970535	30.807991	10.678555	6.202241	25.056055	25.684269
"ENSMUSG00000014873"	14.954533	4.308131	9.645739	11.804027	14.329559	9.306473	13.683903	7.038947	17.226614	19.304214	7.929608	3.96563	8.693635	9.230229
"ENSMUSG00000014980"	4.457631	1.761577	3.949007	4.941092	1.992109	4.448473	15.031245	3.672763	16.389532	13.329539	7.270974	3.975401	9.044573	11.347578
"ENSMUSG00000015085"	0	0	0	0	0	0	24.424137	13.95378	24.386316	6.553672	3.829779	0	0.25224	0
"ENSMUSG00000015087"	10.140451	5.832747	12.440709	10.864912	15.008572	9.848256	13.665709	7.30162	15.868382	11.120385	7.932371	5.36782	10.916782	14.94242
"ENSMUSG00000015090"	0	0	0	0	0	0	1.228917	0	0	1.606622	0	0	0	0.050495
"ENSMUSG00000015092"	33.283646	16.850445	30.429714	23.177757	28.74194	30.91329	37.023434	11.74149	38.959915	34.563393	14.274132	12.209221	19.28492	24.263166
"ENSMUSG00000015093"	0	0	0	0.510792	0	0.486953	0.746274	0.37648	0	0.714927	0	0	0.683184	0
"ENSMUSG00000015094"	0	0	0	0	0	0.289778	51.563736	22.423346	63.273712	17.30761	15.154497	10.831588	25.580732	31.63341
"ENSMUSG00000015095"	5.618908	3.504141	7.558682	7.431931	7.34155	7.138058	9.323422	3.107647	7.204213	7.833894	5.821237	3.138155	7.246326	7.566913
"ENSMUSG00000015222"	0.111613	0	0.111288	0.072047	0.239125	0	5.210012	1.867458	5.482862	39.871532	34.136459	0.462699	0.682505	5.781785
"ENSMUSG00000015314"	1.95582	0.649808	1.79308	3.750939	3.849022	4.095107	0	0	0.280603	0	0	0	0	0.062819
"ENSMUSG00000015316"	0	0	0	0.071654	0	0.085061	0	0	0	0	0	0	0	0
"ENSMUSG00000015335"	0	1.233874	2.119773	2.020869	1.672851	0.931399	2.365222	0.923913	2.861131	3.667261	0.636424	1.08776	4.986921	3.498502
"ENSMUSG00000015355"	119.70929	45.847458	106.825592	94.976746	139.730148	106.467751	0	0	0	0.442797	0	0	0	0.197276
"ENSMUSG00000015488"	16.118818	3.545154	7.145894	7.172153	9.368622	4.519618	11.919936	5.480753	13.301541	6.618639	5.854614	2.411593	2.69474	4.285839
"ENSMUSG00000015619"	0	0	0	0	0.151777	0	0	0	0	0	0	1.532287	0.44887	0.449276
"ENSMUSG00000015790"	10.014268	3.880137	8.669122	14.661229	16.612385	13.446727	19.108099	8.1054	23.212252	13.867051	11.805335	6.18633	11.981517	18.731874
"ENSMUSG00000015829"	0	0	0.014843	0.017736	0	0	0.019127	0.020006	0.162611	0.075082	0.0107	0.007181	0	0.00925
"ENSMUSG00000015846"	6.805405	5.507163	7.329414	10.75141	7.862602	12.111313	10.668076	4.786272	9.615413	8.306291	5.960403	4.694244	10.454657	5.098866
"ENSMUSG00000015962"	1.917062	0.250442	0	0.393246	0	0	0	0.193615	0	1.870015	0	0.452129	1.686174	1.01754
"ENSMUSG00000016179"	0	0	0	0	0	0	0.292636	0.071302	0	0.201458	0	0	0	0
"ENSMUSG00000016181"	3.297774	0.796255	1.381988	2.370057	1.196082	1.89909	2.375153	1.516705	1.81238	4.423173	3.171211	1.452455	2.842968	2.139008
"ENSMUSG00000016194"	2.993477	0.036498	0.948041	0.283981	1.988555	0.061791	20.038832	9.789036	13.829213	0.768672	16.762171	0	0.097685	0
"ENSMUSG00000016200"	0	0	0	0	0	0	0	0	0	0.140938	0.121632	0	0	0
"ENSMUSG00000016262"	0	0	0	0	0	0	18.149557	13.742489	31.268568	3.037647	1.526973	0	0.178634	0
"ENSMUSG00000016493"	0.508642	0.267647	0.6453	0.834484	0	0.64314	1.464769	0.810612	1.653549	4.3976	4.613665	3.563171	5.144049	3.087063
"ENSMUSG00000016494"	1.138891	0.054823	0	0.326992	0	0.875686	84.792381	50.032772	82.155846	16.662769	12.51025	43.550564	311.682953	190.097549
"ENSMUSG00000016524"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.124347
"ENSMUSG00000016526"	0	0.10377	0.286715	0	0	0	0.386023	0	0	1.976596	0	0	0	0
"ENSMUSG00000016529"	28.243361	4.125778	18.14452	18.480038	19.609259	20.647953	4.628341	1.67418	3.361083	1.243651	0.650464	0	1.704817	1.803375
"ENSMUSG00000016918"	0	0	0	0.109843	0	0	88.349274	48.073536	107.913895	23.244558	38.994984	3.512753	9.266071	11.264184
"ENSMUSG00000017418"	25.22578	7.209694	24.306309	33.764172	33.546108	20.422586	21.000092	8.729316	20.54439	17.138224	8.798561	9.172599	14.330991	15.919249
"ENSMUSG00000018196"	3.160572	1.628508	3.36007	2.540389	4.161996	4.503654	4.409378	1.862447	3.301961	3.538773	4.13394	1.775713	3.677341	3.925498
"ENSMUSG00000018199"	1.199797	1.272133	1.912699	3.762345	3.069362	3.040556	8.955731	6.047793	9.982911	7.825899	6.414035	4.231168	9.825797	8.403519
"ENSMUSG00000018417"	1.730246	0.192367	0.419336	0.537743	0.186261	1.112066	29.682514	11.276823	26.994335	64.342819	89.314796	25.555138	56.901691	50.244057
"ENSMUSG00000019230"	0	0	0	0	0.057669	0.028024	0.42466	0	0.430957	0.161027	0.058596	0.097687	0	0.013672
"ENSMUSG00000019699"	7.898123	3.792072	9.758691	8.720066	24.058987	7.03785	15.475401	8.853742	21.856363	14.912992	10.786187	15.951722	28.678907	23.469858
"ENSMUSG00000022591"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000022995"	0.215695	0.022068	0.172314	0.119704	0.258632	0.638085	18.592049	7.798494	17.151508	21.273165	10.016334	18.422556	27.725466	24.388557
"ENSMUSG00000023094"	0	0.636665	1.394907	0.950238	0	1.789319	3.036011	1.464669	3.474976	1.131469	0.630075	0.530454	2.124123	1.186702
"ENSMUSG00000023150"	73.382851	17.521198	58.581955	76.586067	116.449226	70.02018	37.508308	14.379481	36.628094	55.647816	27.765522	15.826469	35.375286	33.717007
"ENSMUSG00000023206"	2.639187	0.673785	2.743339	2.654202	9.868747	3.955746	16.191872	6.813484	13.967128	6.740409	10.813207	3.94785	8.608072	4.496211
"ENSMUSG00000025776"	0	0	0	0	0	0	0.460667	0.293457	0.430658	0.482825	0.57167	1.707999	1.959608	2.487045
"ENSMUSG00000025779"	24.64389	11.439385	26.046911	23.070492	27.975863	27.020725	9.606198	3.267955	5.47987	5.022949	2.721374	2.747797	8.337019	11.981344
"ENSMUSG00000025780"	0	0	0.068542	0.125958	0.181654	0.088198	19.485304	13.067623	27.848431	7.269073	15.086204	0.734802	13.669808	1.27303
"ENSMUSG00000025781"	121.201035	43.539688	102.995598	84.865593	143.737747	80.5485	108.468803	44.314617	93.052643	100.597458	48.718475	21.513943	55.434406	65.9674
"ENSMUSG00000025782"	6.331519	2.119567	4.565946	4.361428	7.993617	4.684925	4.786923	1.632062	4.953	5.527868	4.710975	3.164481	5.963886	6.166109
"ENSMUSG00000025815"	0	0.00993	0	0.084052	0.026205	0	2.686629	0.646308	1.998955	1.291624	2.667116	0.811833	0.866114	0
"ENSMUSG00000025816"	4.053916	3.203092	8.440581	8.153441	7.08066	7.726235	14.425324	5.169808	9.772318	13.961229	9.056953	5.127323	10.06404	14.066208
"ENSMUSG00000025817"	7.272376	4.873376	6.598755	6.579044	5.555637	6.346291	10.602021	4.598391	11.498828	13.408444	4.045791	1.780418	7.864851	9.301792
"ENSMUSG00000025900"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02768
"ENSMUSG00000025902"	0	0	0	0	0	0.067065	0	0.251642	0	0.20771	0.14764	22.276117	50.780083	40.512321
"ENSMUSG00000025903"	32.297577	17.641613	36.526855	24.39539	39.087917	20.196028	27.892187	11.394911	30.86121	31.244507	15.37346	14.198385	37.156357	41.3465
"ENSMUSG00000025905"	0	0	0	0	0	0	0	0	0.002685	0	0	0	0	0
"ENSMUSG00000025909"	0	0	0	0	0	0.013589	0	0	0	0.05061	0	0.000384	0	0
"ENSMUSG00000025911"	0	0.139156	0.47213	0.410048	0.705857	0.590471	0.999423	0.875889	1.170934	0.287983	0.524254	1.249212	3.237148	1.164903
"ENSMUSG00000025912"	1.297952	0.428195	0.480354	0.773238	0.471663	0.819357	2.720861	0.792301	2.390763	4.73154	0.984627	0.483454	1.633821	3.63152
