"gene"	"Old.Inflammatory-Mac.D2_1"	"Old.Resolving-Mac.D2_3"	"Old.Inflammatory-Mac.D2_2"	"Old.Resolving-Mac.D2_2"	"Old.Inflammatory-Mac.D2_3"	"Old.Resolving-Mac.D2_1"	"Old.FAPs.D2_1"	"Old.FAPs.D2_2"	"Old.FAPs.D2_3"	"Old.MuSCs.D2_1"	"Old.MuSCs.D2_2"	"Old.ECs.D2_2"	"Old.Neutrophils.D2_2"	"Old.Neutrophils.D2_1"	"Old.Neutrophils.D2_3"	"Old.ECs.D2_1"
"ENSMUSG00000019699"	8.556462	8.929982	9.252348	12.33988	7.819274	11.190264	5.417708	10.774189	11.854595	11.885633	19.206888	25.254854	22.41041	15.95066	13.308807	23.807053
"ENSMUSG00000022591"	0	0	0	0.127526	0	0.104265	0	0	0	0	0	0	0	0	0.344414	0.139346
"ENSMUSG00000022995"	0.138848	0.198209	0.458364	0.319736	1.007188	0.535402	6.190504	13.594268	16.732363	19.652683	40.955738	21.195789	21.347157	15.413345	10.518292	15.456059
"ENSMUSG00000023094"	1.161445	1.628277	2.135427	2.236743	0.866424	1.83639	1.215238	1.756229	1.860513	1.772365	0.318215	2.511723	1.321812	0.73609	0.780742	1.567297
"ENSMUSG00000023150"	41.444103	75.039894	88.240723	93.476013	43.63253	91.381927	15.511346	29.625896	32.291462	62.475262	100.460571	41.807663	31.659895	26.673998	14.070422	37.265083
"ENSMUSG00000023206"	1.485045	2.826236	3.317586	2.539531	2.459656	3.600313	6.12601	8.33806	13.472507	8.862039	2.454588	3.872422	6.842299	5.132529	3.244078	5.793474
"ENSMUSG00000025776"	0	0	0	0	0	0	0.156224	0.299223	0.375266	0	0.135175	1.527724	0.805184	2.50876	1.221095	1.606874
"ENSMUSG00000025779"	16.417076	25.717321	31.508362	21.564529	28.273834	19.886311	3.831481	5.830235	3.487638	1.484582	2.866403	9.717195	6.962111	6.874071	4.706538	10.772805
"ENSMUSG00000025780"	0	0	0	0	0.051193	0	4.771874	11.341886	11.441912	6.164849	34.381966	2.659344	2.202688	3.656675	0.950369	11.214673
"ENSMUSG00000025781"	107.286064	117.374718	101.955818	118.384552	94.470673	79.400879	57.2575	107.650955	116.076302	107.845695	112.896675	56.751987	67.271896	36.446522	34.996819	50.602798
"ENSMUSG00000025782"	4.578989	5.436183	5.095075	4.270034	4.988802	3.796691	1.568229	4.040628	3.924821	4.940302	4.381763	5.603132	5.032185	2.764037	2.447064	4.296354
"ENSMUSG00000025815"	0	0	0	0	0	0.029706	0.244839	0.294826	0.22838	0.69221	3.415866	0	1.287719	0	0	0
"ENSMUSG00000025816"	7.084895	12.573815	8.827344	7.554356	3.919139	10.365232	6.029982	10.812601	9.845685	6.996804	21.422478	9.392385	6.445542	4.970495	3.829336	6.07186
