"gene"	"Old.Resolving-Mac.D7_3"	"Old.Resolving-Mac.D7_1"	"Old.Resolving-Mac.D7_2"	"Old.FAPs.D7_1"	"Old.FAPs.D7_2"	"Old.FAPs.D7_3"	"Old.MuSCs.D7_1"	"Old.MuSCs.D7_3"	"Old.MuSCs.D7_2"	"Old.ECs.D7_1"	"Old.ECs.D7_2"	"Old.ECs.D7_3"
"ENSMUSG00000026058"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000026062"	0	0	0	0	0	0	0.925623	0.676967	0.168888	0	0.298556	0.170107
"ENSMUSG00000026069"	0.396426	1.435009	0.676898	2.614012	1.462978	1.384269	0	0.115117	0.087282	0	0.170582	0.985239
"ENSMUSG00000026072"	0.019467	0.08278	0.23048	36.645	30.394321	36.746246	11.734908	11.820627	4.227734	5.690408	18.980387	14.988366
"ENSMUSG00000026074"	12.395642	27.539038	35.353069	61.583755	62.812225	60.744347	39.588772	73.456406	32.892338	25.372046	66.353577	58.927914
"ENSMUSG00000026078"	1.911655	5.958126	8.222186	10.488148	7.127231	6.290944	5.66172	6.436858	1.590917	3.540919	7.088845	7.251201
"ENSMUSG00000026080"	0	0	0	0.569556	0.592166	0.555992	0	0	0	0	0	0
"ENSMUSG00000026082"	3.096153	5.866683	9.111469	14.260453	10.178665	10.662689	9.171852	8.547603	3.40878	6.965803	8.066843	12.048886
"ENSMUSG00000026083"	7.019724	19.428272	22.466608	14.662662	15.265508	15.946661	10.309371	14.759229	5.361434	9.67747	23.459141	20.875557
"ENSMUSG00000026085"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000026087"	5.352504	10.420653	21.547579	30.274813	22.835245	25.865791	9.958973	17.661991	5.627893	6.934357	9.322299	11.754563
"ENSMUSG00000026088"	2.186448	2.619001	9.351588	6.09084	11.400695	9.746758	5.689664	6.16056	2.263833	6.99826	8.836385	10.488199
"ENSMUSG00000026090"	0	0	0	0	0.075516	0.015379	0.379328	0	0	0.181315	0.544983	0.440809
"ENSMUSG00000026094"	22.350588	49.187519	57.652882	19.395	21.421652	16.959007	3.358099	24.315874	7.66843	9.89879	6.734096	13.069828
"ENSMUSG00000026095"	4.400394	14.320465	20.198719	16.37322	11.888481	12.085433	2.286769	13.644537	4.346287	2.684515	10.01676	8.912541
"ENSMUSG00000026096"	1.188597	3.081329	2.33937	4.441994	2.638963	4.382421	5.68021	4.806921	1.317668	2.404039	2.580743	3.597143
"ENSMUSG00000026097"	2.842824	5.47684	8.736421	3.082773	2.886617	2.874285	2.288168	3.058009	0.616846	2.544952	0	3.433886
"ENSMUSG00000026100"	0	0	0	0	1.069397	0	0	0	0	0	0	0
"ENSMUSG00000026107"	22.208948	51.706287	62.524818	30.279222	37.590546	37.57568	10.694024	7.361313	2.464762	47.660606	32.740692	82.308563
"ENSMUSG00000026109"	0	0	0	9.921117	7.689908	5.999034	3.143678	2.436109	0.733725	0.622727	0.234492	1.474608
"ENSMUSG00000026110"	8.227314	20.671589	22.895182	7.635244	8.053903	7.422771	15.804832	3.544131	0.592899	24.875669	38.488216	47.194332
"ENSMUSG00000026111"	4.354277	14.635949	16.580988	22.013681	17.074579	20.331638	11.51539	7.571257	3.389215	13.071174	13.620332	14.377841
"ENSMUSG00000026113"	8.172344	17.086506	25.976862	11.344889	9.013418	13.117679	12.749663	6.753299	1.598437	10.098186	7.993686	10.966968
"ENSMUSG00000026116"	9.878863	21.120291	33.303196	28.427727	27.124138	24.606035	26.909046	17.303215	8.82547	19.345661	23.554272	27.649685
"ENSMUSG00000026117"	0.126145	0	0	0.890059	0	0.511531	0	0	0.163053	0.477582	0.336713	0.246429
"ENSMUSG00000026121"	0.356015	1.415462	0.999723	7.065427	5.941474	7.468153	4.422683	6.415854	2.661384	11.598968	14.863719	16.559868
"ENSMUSG00000026123"	8.985263	30.217569	26.222841	2.546445	3.003411	2.119111	5.704873	5.618483	0.977435	2.325645	5.007808	7.694834
"ENSMUSG00000026125"	0.124699	0.127386	0.788298	0	0	0	0	0	0	0	0	0
