"gene"	"Young.Resolving-Mac.D7_2"	"Young.Resolving-Mac.D7_1"	"Young.Resolving-Mac.D7_3"	"Young.FAPs.D7_1"	"Young.FAPs.D7_2"	"Young.FAPs.D7_3"	"Young.MuSCs.D7_3"	"Young.MuSCs.D7_1"	"Young.MuSCs.D7_2"	"Young.ECs.D7_2"	"Young.ECs.D7_1"	"Young.ECs.D7_3"
"ENSMUSG00000025930"	0	0	0.114257	5.468677	2.032684	7.783858	21.475126	25.009237	10.48565	0	0	0
"ENSMUSG00000025931"	0	0	0	4.563164	4.489244	3.42225	1.005052	1.580617	0.987701	0.565463	1.297984	4.370501
"ENSMUSG00000025934"	0	0	0	0.241155	0.588435	0.72661	0	0.407212	0	0	0	0
"ENSMUSG00000025935"	64.459229	77.071861	27.475183	85.198036	76.304855	89.619415	23.818794	26.232698	27.337982	49.367508	13.849744	31.472124
"ENSMUSG00000025937"	6.268786	6.110634	3.278594	5.192021	2.989974	5.23718	3.358698	4.089467	2.391712	2.252112	1.549538	2.020874
"ENSMUSG00000025938"	0	0	0	7.9599	4.088598	5.92283	1.348652	1.149968	0.851738	0.092294	0	1.018502
"ENSMUSG00000025949"	18.360508	18.573023	11.137794	10.299741	11.507782	11.028465	11.390076	10.225842	8.607231	11.898203	4.596013	7.904643
"ENSMUSG00000025956"	2.554286	2.050537	1.2596	6.683716	6.602278	6.639405	5.482535	5.64532	6.728279	5.560049	0.930351	0.910006
"ENSMUSG00000025958"	32.824055	28.016224	13.617167	17.750387	14.021968	16.807737	30.442308	28.552879	21.529755	63.560425	14.952652	24.757509
"ENSMUSG00000025961"	0	0	0	0	0	0	0.061285	0	0	0	0	0
"ENSMUSG00000025963"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000025969"	10.765955	10.843202	11.246588	5.239249	6.6074	7.807437	4.192215	4.9521	3.607792	10.132086	22.546644	73.2547
"ENSMUSG00000025971"	2.065911	2.119479	0.86666	1.944823	1.991772	1.240991	2.290303	3.53514	2.223753	1.305748	1.4601	2.294797
"ENSMUSG00000025977"	0.017217	0.501894	0	0	0.846437	0	1.251406	0	0.209794	0	0.146595	0
"ENSMUSG00000025978"	0.773487	0.562644	0.505685	8.73685	11.672821	10.624108	6.259243	8.35183	3.573517	4.344399	1.492107	6.518225
"ENSMUSG00000025979"	20.388121	18.560469	6.004331	13.070243	12.591218	14.831448	24.351225	23.104725	15.901479	19.677862	11.590032	16.317873
"ENSMUSG00000025981"	66.412529	59.709671	22.909428	38.626183	27.592112	30.015713	36.427891	35.44857	18.995461	106.410851	10.892864	20.97574
"ENSMUSG00000025982"	121.586906	122.184296	41.080811	79.187645	80.792946	74.553482	83.889862	96.050262	59.381393	209.346329	39.635799	83.639534
"ENSMUSG00000025983"	0	0	0	0.699174	1.460268	0.518076	0.396444	1.076882	0.565081	0	0	0
"ENSMUSG00000025995"	6.468775	5.130664	1.686671	9.355876	7.561588	9.532585	16.867849	15.854342	12.921365	5.886513	3.739057	4.65133
"ENSMUSG00000025997"	0.575204	0.201683	0.688029	2.359652	2.687673	2.347461	0.954879	1.58986	1.514238	0	0	0.039794
"ENSMUSG00000026000"	2.043561	0.964927	0.873062	4.894555	5.697254	2.828129	4.019282	4.582391	3.081682	0.453588	0.95168	1.587643
"ENSMUSG00000026003"	18.670368	14.79333	6.684524	15.059102	18.95718	15.307738	37.130589	39.149269	36.447269	16.796852	7.374335	16.902994
"ENSMUSG00000026004"	54.049877	57.271336	17.237524	23.77569	24.398863	21.991123	44.47327	41.257614	26.975695	129.96817	15.344861	18.543833
"ENSMUSG00000026011"	0.732937	0	0.169427	0	0	0	0	0	0	0	0	0
"ENSMUSG00000026020"	10.698557	11.240455	2.466147	106.14299	74.525978	80.419106	68.998276	57.492241	34.949093	7.625995	5.090189	27.728788
"ENSMUSG00000026023"	0	0	0	1.610112	2.575767	1.34373	0	0	0	0	0.14604	0
"ENSMUSG00000026024"	5.848918	4.257985	2.532399	4.215982	3.142602	2.913777	4.243297	4.770527	4.020914	6.461184	2.936403	5.009713
"ENSMUSG00000026028"	11.264453	13.735353	5.028984	13.670279	14.88868	14.086104	21.370117	20.193365	10.712015	17.827394	8.02252	16.201693
"ENSMUSG00000026029"	39.294601	39.328487	8.746395	5.571469	7.871444	8.119077	3.253915	3.936953	6.016549	10.301847	6.628453	23.276537
"ENSMUSG00000026032"	20.214987	9.349384	5.653284	6.869604	7.194801	7.671101	12.791989	9.14505	9.058086	6.877309	1.972485	11.033056
"ENSMUSG00000026036"	1.756898	2.133679	0.838455	2.087045	4.360256	3.340379	3.679849	4.986156	4.268851	1.179279	0.949014	2.295033
"ENSMUSG00000026037"	3.297157	4.43015	2.169491	4.349576	3.893434	4.023235	6.75897	7.894108	4.990334	2.635764	2.866822	2.284654
"ENSMUSG00000026039"	1.111846	0	0.371221	0.271061	0.689524	0.900242	7.898561	8.901904	8.021845	0.525262	0.095749	5.662011
"ENSMUSG00000026042"	0.076945	0.03389	0.174961	588.26886	557.157532	570.484314	75.204338	83.679016	72.352493	0	0.586222	7.145186
"ENSMUSG00000026043"	1.095418	0.137184	1.82372	6331.548828	5792.625	5989.146484	236.860077	314.811127	112.803009	0.16404	1.590744	21.712891
"ENSMUSG00000026047"	3.732757	2.767455	1.905346	16.403673	13.09468	18.571331	10.025957	15.062586	9.765782	0.833605	3.206238	6.299965
"ENSMUSG00000026049"	8.2938	9.180029	3.257574	3.097278	4.302609	3.150034	7.043342	9.965563	7.732244	7.015448	1.555999	4.286498
"ENSMUSG00000026058"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000026062"	0	0	0	0	0	0	0.608116	0.29031	0.527612	0.118836	0	0
"ENSMUSG00000026069"	0.331919	0.215088	0.281415	15.307392	5.959848	2.917994	0	0	0.116632	5.800237	0	0
