"baseMean"	"log2FoldChange"	"lfcSE"	"pvalue"	"padj"	"id"	"day"	"type"	"symbol"
660.587	-0.3854088	0.1897229	0.01219024	0.06820534	"ENSMUSG00000024571"	"D2"	"MuSCs"	"Gm16286"
276.4973	-0.2961766	0.2175209	0.06606789	0.2084205	"ENSMUSG00000024580"	"D2"	"MuSCs"	"Grpel2"
365.191	0.2701477	0.1908536	0.07444079	0.2246879	"ENSMUSG00000024581"	"D2"	"MuSCs"	"Napg"
1082.37	-0.1822323	0.1499375	0.1549221	0.3581625	"ENSMUSG00000024583"	"D2"	"MuSCs"	"Txnl1"
645.3629	0.1784246	0.1617464	0.1867045	0.4019177	"ENSMUSG00000024588"	"D2"	"MuSCs"	"Fech"
1272.93	-0.6305234	0.1961331	0.0001724933	0.00322322	"ENSMUSG00000024590"	"D2"	"MuSCs"	"Lmnb1"
319.5211	0.1662896	0.1865019	0.2544268	0.4855933	"ENSMUSG00000024594"	"D2"	"MuSCs"	"Prrc1"
31.31499	-2.649652	0.81498	4.120455e-05	0.001071233	"ENSMUSG00000024598"	"D2"	"MuSCs"	"Fbn2"
421.5177	-0.2315884	0.1942913	0.1217167	0.3087983	"ENSMUSG00000024601"	"D2"	"MuSCs"	"Isoc1"
1275.091	-0.269159	0.1924981	0.07374738	0.2231876	"ENSMUSG00000024608"	"D2"	"MuSCs"	"Rps14"
1169.818	-0.4358805	0.1900446	0.005256659	0.03882724	"ENSMUSG00000024613"	"D2"	"MuSCs"	"Tcof1"
187.2322	0.6068058	0.3490004	0.009499102	0.05771927	"ENSMUSG00000024621"	"D2"	"MuSCs"	"Csf1r"
199.2488	-0.3797549	0.2523014	0.03298116	0.132496	"ENSMUSG00000024645"	"D2"	"MuSCs"	"Timm21"
125.5062	0.6155797	0.3174894	0.006344324	0.04449567	"ENSMUSG00000024646"	"D2"	"MuSCs"	"Cyb5a"
858.7706	-0.7293202	0.1945713	1.930854e-05	0.0006051462	"ENSMUSG00000024660"	"D2"	"MuSCs"	"Incenp"
59.20444	0.4530569	0.4683911	0.0365879	0.1422231	"ENSMUSG00000024663"	"D2"	"MuSCs"	"Rab3il1"
590.3898	0.2432773	0.2130513	0.1247706	0.3135725	"ENSMUSG00000024665"	"D2"	"MuSCs"	"Fads2"
