Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Ligand expressing cells in condition 1,Ligand detection rate in condition 1,Ligand expression in condition 1,Ligand specificity in condition 1,Receptor expressing cells in condition 1,Receptor detection rate in condition 1,Receptor expression in condition 1,Receptor specificity in condition 1,Edge expression weight in condition 1,Edge specificity weight in condition 1,Ligand expressing cells in condition 2,Ligand detection rate in condition 2,Ligand expression in condition 2,Ligand specificity in condition 2,Receptor expressing cells in condition 2,Receptor detection rate in condition 2,Receptor expression in condition 2,Receptor specificity in condition 2,Edge expression weight in condition 2,Edge specificity weight in condition 2,Delta ligand expression,Fold change of ligand expression,Log2-transformed fold change of ligand expression,Delta ligand specificity,Fold change of ligand specificity,Log2-transformed fold change of ligand specificity,Delta receptor expression,Fold change of receptor expression,Log2-transformed fold change of receptor expression,Delta receptor specificity,Fold change of receptor specificity,Log2-transformed fold change of receptor specificity,Delta edge expression weight,Delta edge specificity weight,Fold change of edge expression weight,Log2-transformed fold change of edge expression weight,Fold change of edge specificity weight,Log2-transformed fold change of edge specificity weight
FAPs,Cxcl5,Cxcr1,ECs,3.0,1.0,4.799114,0.757340497133279,1.0,0.3333333333333333,5.973506333333333,0.9996971429349232,28.66753787338867,0.7571111312130534,1.0,0.3333333333333333,0.0586213333333333,0.0318213557224935,1.0,0.3333333333333333,2.346233,0.9997937544237332,0.1375393067706667,0.0318147927086449,4.740492666666667,81.86633989901293,6.355198491288358,0.7255191414107856,23.79975585383181,4.57287486882929,3.627273333333333,2.5459987705114253,1.348231722547402,-9.661148881001669e-05,0.9999033685813874,-0.00013941640453743172,28.529998566618005,0.7252963385044084,208.43160072915722,7.703430213835759,23.797456049661037,4.572735452424753
sCs,Nid2,Col13a1,sCs,3.0,1.0,10.22880766666667,0.1317194437015911,3.0,1.0,0.702312,0.6786077779123368,7.183814369992001,0.0893858389981858,3.0,1.0,8.995339666666666,0.098921863516656,1.0,0.3333333333333333,0.004932,0.0284745449576807,0.044365015236,0.0028167550500025,1.2334680000000038,1.1371230043230909,0.1853883211858768,0.032797580184935116,1.3315503673200901,0.4131070010671827,0.69738,142.3990267639903,7.153795475913565,0.6501332329546562,23.832085075315305,4.574833273701425,7.139449354756001,0.08656908394818329,161.9252091265528,7.339183797099442,31.73362163604054,4.987940274768644
ECs,Hspg2,Col13a1,sCs,3.0,1.0,133.9646796666667,0.2795129415517746,3.0,1.0,0.702312,0.6786077779123368,94.08500210605602,0.1896796561641907,3.0,1.0,117.9639543333333,0.2661690114309019,1.0,0.3333333333333333,0.004932,0.0284745449576807,0.581798222772,0.0075790414823306,16.000725333333406,1.1356408016648867,0.18350658871362718,0.013343930120872705,1.0501332970699213,0.07057246581151667,0.69738,142.3990267639903,7.153795475913565,0.6501332329546562,23.832085075315305,4.574833273701425,93.50320388328403,0.1821006146818601,161.7141449105575,7.337302064627192,25.026866076191876,4.645405739512951
FAPs,Fn1,Col13a1,sCs,3.0,1.0,385.0524703333334,0.8846641374295412,3.0,1.0,0.702312,0.6786077779123368,270.4269705447441,0.6003399644997951,3.0,1.0,345.566579,0.9069174311350352,1.0,0.3333333333333333,0.004932,0.0284745449576807,1.704334367628,0.0258240611657589,39.48589133333343,1.114264207631414,0.15609135641720942,-0.022253293705494004,0.9754627125452388,-0.03584136859761744,0.69738,142.3990267639903,7.153795475913565,0.6501332329546562,23.832085075315305,4.574833273701425,268.7226361771161,0.5745159033340362,158.67013872466214,7.309886832330775,23.247310353175923,4.538991905103805
FAPs,Fn1,Itgb6,sCs,3.0,1.0,385.0524703333334,0.8846641374295412,3.0,1.0,3.502633333333333,0.820695084116189,1348.697617671878,0.726039508682313,3.0,1.0,345.566579,0.9069174311350352,2.0,0.6666666666666666,0.024693,0.0678862779526072,8.533075535247,0.0615672488100975,39.48589133333343,1.114264207631414,0.15609135641720942,-0.022253293705494004,0.9754627125452388,-0.03584136859761744,3.4779403333333327,141.84721716005885,7.148194037047098,0.7528088061635818,12.089263233567365,3.5956544187409407,1340.164542136631,0.6644722598722156,158.05527703357407,7.3042853934643075,11.792625506489044,3.559813050143323
FAPs,Tgfb1,Itgb6,sCs,3.0,1.0,17.91585,0.1549827702197958,3.0,1.0,3.502633333333333,0.820695084116189,62.75265340500001,0.1271935976420953,3.0,1.0,17.04862266666667,0.1399706767982279,2.0,0.6666666666666666,0.024693,0.0678862779526072,0.4209816395080002,0.009502088270339,0.8672273333333287,1.0508678824260054,0.07158130169781624,0.015012093421567924,1.1072517027492004,0.14698321582421225,3.4779403333333327,141.84721716005885,7.148194037047098,0.7528088061635818,12.089263233567365,3.5956544187409407,62.33167176549201,0.11769150937175632,149.06268472501276,7.219775338744914,13.385857300350832,3.7426376345651597
FAPs,Hspg2,Col13a1,sCs,3.0,1.0,276.4348856666666,0.576772386814763,3.0,1.0,0.702312,0.6786077779123368,194.143537422328,0.3914022277775611,3.0,1.0,282.6413673333333,0.6377403483780447,1.0,0.3333333333333333,0.004932,0.0284745449576807,1.393987223688,0.0181593662212176,-6.206481666666662,0.9780411419417347,-0.03203294052080783,-0.06096796156328177,0.9044000246834928,-0.144967063422918,0.69738,142.3990267639903,7.153795475913565,0.6501332329546562,23.832085075315305,4.574833273701425,192.74955019864,0.3732428615563435,139.2721067476447,7.121762535392757,21.553738330374248,4.429866210278506
ECs,Robo2,Robo2,ECs,2.0,0.6666666666666666,1.847863,0.7296835394802672,2.0,0.6666666666666666,1.847863,0.7296835394802672,3.414597666769,0.5324380677884507,2.0,0.6666666666666666,0.1588893333333333,0.6383618698147193,2.0,0.6666666666666666,0.1588893333333333,0.6383618698147193,0.0252458202471111,0.4075058768333447,1.6889736666666668,11.629874461889619,3.5397636186815724,0.09132166966554789,1.1430562725998241,0.19289642910123145,1.6889736666666668,11.629874461889619,3.5397636186815724,0.09132166966554789,1.1430562725998241,0.19289642910123145,3.389351846521889,0.12493219095510599,135.25397999931238,7.079527237363145,1.3065776423298032,0.3857928582024627
FAPs,Nid1,Col13a1,sCs,3.0,1.0,412.4720866666667,0.84818836320749,3.0,1.0,0.702312,0.6786077779123368,289.68409613104,0.5755872204073369,3.0,1.0,439.8208616666666,0.8239280291378236,1.0,0.3333333333333333,0.004932,0.0284745449576807,2.16919648974,0.0234609757075782,-27.348774999999875,0.9378183770174888,-0.09261954522483949,0.024260334069666434,1.029444724795991,0.041866367703437345,0.69738,142.3990267639903,7.153795475913565,0.6501332329546562,23.832085075315305,4.574833273701425,287.5148996413,0.5521262446997587,133.54442416867528,7.061175930688725,24.53381426167262,4.616699641404863
ECs,Nid1,Col13a1,sCs,3.0,1.0,40.42873533333334,0.0831357659279396,3.0,1.0,0.702312,0.6786077779123368,28.393585969424,0.0564165773813992,3.0,1.0,43.995596,0.0824181112411548,1.0,0.3333333333333333,0.004932,0.0284745449576807,0.216986279472,0.0023468182138633,-3.5668606666666562,0.9189268701652171,-0.12197804104222654,0.0007176546867847938,1.0087074876623288,0.012507871886051012,0.69738,142.3990267639903,7.153795475913565,0.6501332329546562,23.832085075315305,4.574833273701425,28.176599689952,0.0540697591675359,130.85429197880651,7.031817434871338,24.039602662077094,4.587341145587531
