"id"	"symbol"	"Tau"	"class"	"whichMAX"	"nbMAX"	"maxlog10TPM"
"50"	"ENSMUSG00000010311"	"Optc"	0.900394915837338	"specific"	"FAPs.D0"	1	1.15990867315964
"51"	"ENSMUSG00000010453"	"Kansl3"	0.193065993182405	"housekeeping"	"FAPs.D0"	1	1.17474018590127
"52"	"ENSMUSG00000010609"	"Psen2"	0.383457809080246	"housekeeping"	"M2.D2"	1	1.09819960980154
"53"	"ENSMUSG00000013275"	"Slc41a1"	0.334209555827901	"housekeeping"	"FAPs.D7"	1	1.01458663697852
"54"	"ENSMUSG00000013465"	"Nelfb"	0.212807297197934	"housekeeping"	"FAPs.D7"	1	1.23488188013487
"55"	"ENSMUSG00000013698"	"Pea15a"	0.179248144018044	"housekeeping"	"FAPs.D0"	1	1.68625450011512
"56"	"ENSMUSG00000013973"	"Dedd"	0.167682736935136	"housekeeping"	"ECs.D7"	1	0.922450475176254
"57"	"ENSMUSG00000013997"	"Nit1"	0.177374652490479	"housekeeping"	"FAPs.D0"	1	0.981277127294386
"58"	"ENSMUSG00000014602"	"Kif1a"	0.798393034583836	"intermediate"	"sCs.D0"	1	0.682572980155622
"59"	"ENSMUSG00000014867"	"Surf4"	0.29497042277782	"housekeeping"	"FAPs.D4"	1	1.94302981446325
"60"	"ENSMUSG00000014873"	"Surf2"	0.178979527653336	"housekeeping"	"FAPs.D7"	1	1.20667825299334
"61"	"ENSMUSG00000014980"	"Tsen15"	0.2763048597816	"housekeeping"	"FAPs.D0"	1	1.14633639714937
"62"	"ENSMUSG00000015085"	"Entpd2"	0.811324019276452	"specific"	"FAPs.D0"	1	1.95552741918291
"63"	"ENSMUSG00000015087"	"Rabl6"	0.17132445432204	"housekeeping"	"FAPs.D7"	1	1.21236357363001
"64"	"ENSMUSG00000015092"	"Edf1"	0.160433671705134	"housekeeping"	"FAPs.D2"	1	1.53812256453754
"65"	"ENSMUSG00000015093"	"Clic3"	0.988871140337853	"specific"	"FAPs.D0"	1	0.416370374095826
"66"	"ENSMUSG00000015094"	"Npdc1"	0.532724064639811	"intermediate"	"FAPs.D0"	1	1.8399808160367
"67"	"ENSMUSG00000015095"	"Fbxw5"	0.148368231775473	"housekeeping"	"M2.D2"	1	0.953555931631515
"68"	"ENSMUSG00000015222"	"Map2"	0.663698917379846	"intermediate"	"sCs.D0"	1	1.4639147079998
"69"	"ENSMUSG00000015335"	"Zdhhc12"	0.466122982687009	"housekeeping"	"ECs.D7"	1	0.624692492094446
"70"	"ENSMUSG00000015488"	"Cacfd1"	0.317503944255107	"housekeeping"	"FAPs.D0"	1	1.16690022836773
"71"	"ENSMUSG00000015790"	"Surf1"	0.276805455132184	"housekeeping"	"FAPs.D0"	1	1.45728449657183
"72"	"ENSMUSG00000015829"	"Tnr"	0.933745864663259	"specific"	"sCs.D4"	1	0.0386051544043102
"73"	"ENSMUSG00000015846"	"Rxra"	0.209558716358855	"housekeeping"	"M2.D2"	1	1.0776808013905
"74"	"ENSMUSG00000015962"	"1700016C15Rik"	0.889679928479475	"specific"	"ECs.D4"	1	0.283038214642571
"75"	"ENSMUSG00000016181"	"Utp25"	0.259396469244313	"housekeeping"	"sCs.D2"	1	0.687959247236913
"76"	"ENSMUSG00000016194"	"Hsd11b1"	0.834026580874256	"specific"	"FAPs.D0"	1	2.03831013604392
"77"	"ENSMUSG00000016200"	"Syt14"	0.973692107978764	"specific"	"sCs.D2"	1	0.240537201765069
"78"	"ENSMUSG00000016262"	"Sertad4"	0.779373105593881	"intermediate"	"FAPs.D7"	1	1.55102559153746
"79"	"ENSMUSG00000016493"	"Cd46"	0.506784755172898	"intermediate"	"ECs.D0"	1	0.848315997410946
"80"	"ENSMUSG00000016494"	"Cd34"	0.55980087505313	"intermediate"	"FAPs.D0"	1	2.50395456692618
"81"	"ENSMUSG00000016526"	"Dyrk3"	0.969941733475205	"specific"	"M2.D2"	1	0.211277246885847
