Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Ligand detection rate,Ligand average expression value,Ligand derived specificity of average expression value,Receptor detection rate,Receptor average expression value,Receptor derived specificity of average expression value,Edge average expression weight,Edge average expression derived specificity
Neutro,Mmp13,Lrp1,M1,0.6666666666666666,0.5192973333333333,0.0324642954474025,1.0,132.804812,0.2767425352500014,68.96518472543465,0.0089842514272192
Neutro,Mmp13,Lrp1,M2,0.6666666666666666,0.5192973333333333,0.0324642954474025,1.0,125.707184,0.261952291301752,65.27940543204267,0.0085040965779441
Neutro,Mmp13,Lrp1,Neutro,0.6666666666666666,0.5192973333333333,0.0324642954474025,1.0,53.58648166666666,0.111665071229204,27.82731703221555,0.0036251278635401
Neutro,Mmp13,Lrp1,sCs,0.6666666666666666,0.5192973333333333,0.0324642954474025,1.0,23.00271466666667,0.0479337267875935,11.94524838582755,0.0015561346683275
sCs,Mmp13,Lrp1,ECs,1.0,2.642707666666667,0.1652110206711039,1.0,1.749051,0.0036447234157565,4.622230487091001,0.000602148475581
sCs,Mmp13,Lrp1,FAPs,1.0,2.642707666666667,0.1652110206711039,1.0,143.0355533333334,0.2980616520156925,378.001153399909,0.0492430697524279
sCs,Mmp13,Lrp1,M1,1.0,2.642707666666667,0.1652110206711039,1.0,132.804812,0.2767425352500014,350.9642948426253,0.0457209167117616
sCs,Mmp13,Lrp1,M2,1.0,2.642707666666667,0.1652110206711039,1.0,125.707184,0.261952291301752,332.2073389118773,0.0432774054130967
sCs,Mmp13,Lrp1,Neutro,1.0,2.642707666666667,0.1652110206711039,1.0,53.58648166666666,0.111665071229204,141.6134059301928,0.0184483003910883
sCs,Mmp13,Lrp1,sCs,1.0,2.642707666666667,0.1652110206711039,1.0,23.00271466666667,0.0479337267875935,60.78945040374578,0.0079191799271481
FAPs,Wnt2,Fzd5,ECs,1.0,1.767921666666667,0.9939828016863972,1.0,2.343367666666667,0.0704163071280732,4.142890470866111,0.069992598243572
FAPs,Wnt2,Fzd5,FAPs,1.0,1.767921666666667,0.9939828016863972,1.0,4.842594333333333,0.1455160514174545,8.561327444777223,0.1446404524782632
