Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Ligand expressing cells in condition 1,Ligand detection rate in condition 1,Ligand expression in condition 1,Ligand specificity in condition 1,Receptor expressing cells in condition 1,Receptor detection rate in condition 1,Receptor expression in condition 1,Receptor specificity in condition 1,Edge expression weight in condition 1,Edge specificity weight in condition 1,Ligand expressing cells in condition 2,Ligand detection rate in condition 2,Ligand expression in condition 2,Ligand specificity in condition 2,Receptor expressing cells in condition 2,Receptor detection rate in condition 2,Receptor expression in condition 2,Receptor specificity in condition 2,Edge expression weight in condition 2,Edge specificity weight in condition 2,Delta ligand expression,Fold change of ligand expression,Log2-transformed fold change of ligand expression,Delta ligand specificity,Fold change of ligand specificity,Log2-transformed fold change of ligand specificity,Delta receptor expression,Fold change of receptor expression,Log2-transformed fold change of receptor expression,Delta receptor specificity,Fold change of receptor specificity,Log2-transformed fold change of receptor specificity,Delta edge expression weight,Delta edge specificity weight,Fold change of edge expression weight,Log2-transformed fold change of edge expression weight,Fold change of edge specificity weight,Log2-transformed fold change of edge specificity weight
MuSCs,Fgf15,Fgfr2,ECs,2.0,0.6666666666666666,0.13395,1.0,1.0,0.3333333333333333,0.036942,0.0209903292890341,0.0049483808999999,0.0209903292890341,1.0,0.3333333333333333,0.0005903333333333,1.0,2.0,0.6666666666666666,0.05601,0.0271054776197122,3.306457e-05,0.0271054776197122,0.1333596666666667,226.90570299267233,7.825949059586427,0.0,1.0,0.0,-0.019067999999999995,0.6595607927155865,-0.6004224538984766,-0.0061151483306781,0.7743943708916269,-0.3688596292534844,0.0049153163299999,-0.0061151483306781,149.6581053375229,7.22552660568784,0.7743943708916269,-0.3688596292534844
MuSCs,Fgf15,Klb,MuSCs,2.0,0.6666666666666666,0.13395,1.0,2.0,0.6666666666666666,0.3081216666666667,0.1653586902466163,0.04127289725,0.1653586902466163,1.0,0.3333333333333333,0.0005903333333333,1.0,3.0,1.0,0.4675086666666666,0.274780801475188,0.0002759859495555,0.274780801475188,0.1333596666666667,226.90570299267233,7.825949059586427,0.0,1.0,0.0,-0.1593869999999999,0.65907156088372,-0.6014929757435349,-0.1094221112285717,0.6017840014981825,-0.7326823419316928,0.0409969113004445,-0.1094221112285717,149.54709584481995,7.2244560838431005,0.6017840014981825,-0.7326823419316928
MuSCs,Fgf15,Fgfr4,MuSCs,2.0,0.6666666666666666,0.13395,1.0,3.0,1.0,10.908285,0.9857837158351755,1.46116477575,0.9857837158351755,1.0,0.3333333333333333,0.0005903333333333,1.0,3.0,1.0,20.09115,0.9910337379907752,0.01186047555,0.9910337379907752,0.1333596666666667,226.90570299267233,7.825949059586427,0.0,1.0,0.0,-9.182865,0.5429398018530547,-0.8811358459967283,-0.005250022155599665,0.9947024788820574,-0.007663022927465458,1.4493043002,-0.005250022155599665,123.19613742216264,6.944813213589617,0.9947024788820574,-0.007663022927465458
MuSCs,Fgf15,Fgfr2,FAPs,2.0,0.6666666666666666,0.13395,1.0,3.0,1.0,0.9431116666666668,0.5358731102718634,0.12632980775,0.5358731102718634,1.0,0.3333333333333333,0.0005903333333333,1.0,3.0,1.0,1.864751,0.902427539668559,0.0011008246736666,0.902427539668559,0.1333596666666667,226.90570299267233,7.825949059586427,0.0,1.0,0.0,-0.9216393333333333,0.5057574264160023,-0.9834824957738457,-0.3665544293966957,0.5938128954582628,-0.7519196711288494,0.1252289830763334,-0.3665544293966957,114.75924438468822,6.842466563812588,0.5938128954582628,-0.7519196711288494
MuSCs,Fgf15,Fgfr3,FAPs,2.0,0.6666666666666666,0.13395,1.0,2.0,0.6666666666666666,0.5648773333333333,0.0942143810928105,0.0756653188,0.0942143810928105,1.0,0.3333333333333333,0.0005903333333333,1.0,3.0,1.0,1.296447666666667,0.2368266084628361,0.0007653362725555,0.2368266084628361,0.1333596666666667,226.90570299267233,7.825949059586427,0.0,1.0,0.0,-0.7315703333333338,0.43571163561557813,-1.1985544541595334,-0.1426122273700256,0.3978200832428635,-1.3298119849713077,0.07489998252744451,-0.1426122273700256,98.86545498144147,6.627394605426917,0.3978200832428635,-1.3298119849713077
MuSCs,Fgf15,Fgfr4,FAPs,2.0,0.6666666666666666,0.13395,1.0,1.0,0.3333333333333333,0.0735296666666666,0.0066448894606978,0.00984929885,0.0066448894606978,1.0,0.3333333333333333,0.0005903333333333,1.0,2.0,0.6666666666666666,0.1817723333333333,0.0089662620092248,0.0001073062674444,0.0089662620092248,0.1333596666666667,226.90570299267233,7.825949059586427,0.0,1.0,0.0,-0.10824266666666671,0.4045151719091828,-1.3057342809152852,-0.0023213725485270002,0.7410991842376798,-0.43226145784602005,0.0097419925825556,-0.0023213725485270002,91.78679945328771,6.520214778671659,0.7410991842376798,-0.43226145784602005
ECs,Nlgn3,Nrxn2,FAPs,3.0,1.0,0.2210183333333333,0.111623447733668,3.0,1.0,6.039054,0.9497929577862038,1.33474164999,0.1060191645812543,1.0,0.3333333333333333,0.0076303333333333,0.0055448718958006,3.0,1.0,2.049608666666666,0.9069818039462568,0.0156391973295555,0.0050290979147042,0.213388,28.96575073172875,4.856276152022282,0.1060785758378674,20.130933560107284,4.331342172825063,3.989445333333334,2.946442459097071,1.5589740921573167,0.042811153839946936,1.0472017780882446,0.06653945201087433,1.3191024526604445,0.1009900666665501,85.34591781558754,6.415250244179598,21.081149418720376,4.397881624835917
MuSCs,Efna5,Epha5,MuSCs,3.0,1.0,1.053930333333333,0.3793820655131266,1.0,0.3333333333333333,0.0139996666666666,0.6220875979440996,0.0147546733565555,0.236008877838132,3.0,1.0,0.6669870000000001,0.1869505767224711,1.0,0.3333333333333333,0.0002903333333333,1.0,0.000193648559,0.1869505767224711,0.38694333333333286,1.5801362445345004,0.6600489576682224,0.1924314887906555,2.029317438674291,1.0209945582341748,0.013709333333333299,48.21928817451736,5.591538448551282,-0.3779124020559004,0.6220875979440996,-0.6848103501884555,0.0145610247975555,0.049058301115660896,76.19304493020007,6.251587406219341,1.2624132108909627,0.3361842080457198
MuSCs,Efna1,Epha5,MuSCs,3.0,1.0,0.987263,0.0376114833880389,1.0,0.3333333333333333,0.0139996666666666,0.6220875979440996,0.0138213529123333,0.0233976373559795,3.0,1.0,0.669968,0.0335846835299462,1.0,0.3333333333333333,0.0002903333333333,1.0,0.0001945140426666,0.0335846835299462,0.317295,1.4735972464356506,0.559342270723928,0.004026799858092699,1.119899889915656,0.16336977266019947,0.013709333333333299,48.21928817451736,5.591538448551282,-0.3779124020559004,0.6220875979440996,-0.6848103501884555,0.0136268388696667,-0.0101870461739667,71.05581027907228,6.150880719275542,0.6966758324554914,-0.5214405775282575
MuSCs,Efna2,Epha5,MuSCs,3.0,1.0,0.6522436666666667,0.2445039037284412,1.0,0.3333333333333333,0.0139996666666666,0.6220875979440996,0.0091311939187777,0.1521028461583813,3.0,1.0,0.4849276666666666,0.2026311434948347,1.0,0.3333333333333333,0.0002903333333333,1.0,0.0001407906658888,0.2026311434948347,0.16731600000000008,1.3450329018142226,0.4276414640113752,0.041872760233606504,1.206645234841079,0.2710015723914018,0.013709333333333299,48.21928817451736,5.591538448551282,-0.3779124020559004,0.6220875979440996,-0.6848103501884555,0.0089904032528889,-0.05052829733645339,64.85652909682057,6.019179912563397,0.7506390357129805,-0.4138087777970542
ECs,Efna1,Epha5,MuSCs,3.0,1.0,23.630375,0.9002398112414131,1.0,0.3333333333333333,0.0139996666666666,0.6220875979440996,0.3308173732083333,0.5600280217488203,3.0,1.0,17.919643,0.8982899767221961,1.0,0.3333333333333333,0.0002903333333333,1.0,0.0052026696843333,0.8982899767221961,5.710732,1.3186855898859147,0.39910062828690224,0.0019498345192169309,1.0021706070085874,0.0031281302231748365,0.013709333333333299,48.21928817451736,5.591538448551282,-0.3779124020559004,0.6220875979440996,-0.6848103501884555,0.325614703524,-0.33826195497337586,63.58608047028574,5.990639076838034,0.6234379056441522,-0.681682219965281
ECs,Dkk2,Lrp6,ECs,1.0,0.3333333333333333,0.1293116666666667,0.0151634279701504,3.0,1.0,12.40685866666667,0.1720325859617629,1.604351572284444,0.0026086037257499,1.0,0.3333333333333333,0.0029916666666666,0.0003566413595017,3.0,1.0,8.676671,0.1325240072999665,0.0259577074083333,4.726354213008153e-05,0.12632000000000013,43.223955431755854,5.433759194402464,0.014806786610648699,42.51730082942924,5.4099781065353,3.7301876666666693,1.4299100042708395,0.5159243494666723,0.03950857866179641,1.298123935932372,0.37642812849835294,1.5783938648761107,0.0025613401836198186,61.806366296023235,5.949683543869105,55.19272589790977,5.786406235033401
