Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Ligand detection rate,Ligand average expression value,Ligand derived specificity of average expression value,Receptor detection rate,Receptor average expression value,Receptor derived specificity of average expression value,Edge average expression weight,Edge average expression derived specificity
sCs,Fn1,Plaur,sCs,1,21.7135627023294,0.037536987836641,1,7.20742354588829,0.0524758189798487,156.4988430858907,0.0019697841787643
ECs,Fn1,Itgb3,ECs,1,39.5081721297966,0.0682991454242098,1,4.92014993748544,0.444624790257125,194.3861306345827,0.0303674932089801
ECs,Fn1,Itgb3,FAPs,1,39.5081721297966,0.0682991454242098,1,1.25869714417192,0.1137461176662237,49.72882343122762,0.0077687626319246
ECs,Fn1,Itgb3,M1,1,39.5081721297966,0.0682991454242098,1,0.245400130904583,0.0221763529808778,9.695310612452884,0.0015146259572195
ECs,Fn1,Itgb3,M2,1,39.5081721297966,0.0682991454242098,1,0.348726167180263,0.0315137345222732,13.77753343912206,0.0021523611369966
ECs,Fn1,Itgb3,Neutro,1,39.5081721297966,0.0682991454242098,1,3.69029222727481,0.3334848385490725,145.7967005244237,0.0227767294848322
ECs,Fn1,Itgb3,sCs,1,39.5081721297966,0.0682991454242098,1,0.602581474159304,0.0544541660244277,23.80689260331236,0.0037191730042564
FAPs,Fn1,Itgb3,ECs,1,330.770233336439,0.5718139577408378,1,4.92014993748544,0.444624790257125,1627.439142872325,0.2542426610266165
FAPs,Fn1,Itgb3,FAPs,1,330.770233336439,0.5718139577408378,1,1.25869714417192,0.1137461176662237,416.3395480776554,0.0650416177203784
FAPs,Fn1,Itgb3,M1,1,330.770233336439,0.5718139577408378,1,0.245400130904583,0.0221763529808778,81.1710585601016,0.0126807481662535
FAPs,Fn1,Itgb3,M2,1,330.770233336439,0.5718139577408378,1,0.348726167180263,0.0315137345222732,115.3482356887376,0.0180199932603751
FAPs,Fn1,Itgb3,Neutro,1,330.770233336439,0.5718139577408378,1,3.69029222727481,0.3334848385490725,1220.638821095336,0.1906912853773094
FAPs,Fn1,Itgb3,sCs,1,330.770233336439,0.5718139577408378,1,0.602581474159304,0.0544541660244277,199.3160148118884,0.0311376521899046
M1,Fn1,Itgb3,ECs,1,124.704849261112,0.2155815917478311,1,4.92014993748544,0.444624790257125,613.5665562961914,0.0958529200141765
M1,Fn1,Itgb3,FAPs,1,124.704849261112,0.2155815917478311,1,1.25869714417192,0.1137461176662237,156.9656376293514,0.0245215691016206
M1,Fn1,Itgb3,M1,1,124.704849261112,0.2155815917478311,1,0.245400130904583,0.0221763529808778,30.60258633311318,0.0047808134747794
M1,Fn1,Itgb3,M2,1,124.704849261112,0.2155815917478311,1,0.348726167180263,0.0315137345222732,43.48784411162004,0.0067937810502302
M1,Fn1,Itgb3,Neutro,1,124.704849261112,0.2155815917478311,1,3.69029222727481,0.3334848385490725,460.1973359317585,0.0718931923181775
M1,Fn1,Itgb3,sCs,1,124.704849261112,0.2155815917478311,1,0.602581474159304,0.0544541660244277,75.14483190257465,0.0117393157888467
M2,Fn1,Itgb3,ECs,1,39.3596523797394,0.0680423941886882,1,4.92014993748544,0.444624790257125,193.6553911956235,0.0302533352447381
M2,Fn1,Itgb3,FAPs,1,39.3596523797394,0.0680423941886882,1,1.25869714417192,0.1137461176662237,49.54188204597749,0.0077395581756781
M2,Fn1,Itgb3,M1,1,39.3596523797394,0.0680423941886882,1,0.245400130904583,0.0221763529808778,9.658863846346932,0.0015089321511923
M2,Fn1,Itgb3,M2,1,39.3596523797394,0.0680423941886882,1,0.348726167180263,0.0315137345222732,13.72574071593404,0.0021442699467221
M2,Fn1,Itgb3,Neutro,1,39.3596523797394,0.0680423941886882,1,3.69029222727481,0.3334848385490725,145.2486192451908,0.022691106840507
M2,Fn1,Itgb3,sCs,1,39.3596523797394,0.0680423941886882,1,0.602581474159304,0.0544541660244277,23.71739735338112,0.0037051918298503
Neutro,Fn1,Itgb3,ECs,1,22.4013115348323,0.038725923061792,1,4.92014993748544,0.444624790257125,110.217811547697,0.0172185054188628
Neutro,Fn1,Itgb3,FAPs,1,22.4013115348323,0.038725923061792,1,1.25869714417192,0.1137461176662237,28.1964668545989,0.0044049234013197
Neutro,Fn1,Itgb3,M1,1,22.4013115348323,0.038725923061792,1,0.245400130904583,0.0221763529808778,5.497284783082192,0.0008587997393286
Neutro,Fn1,Itgb3,M2,1,22.4013115348323,0.038725923061792,1,0.348726167180263,0.0315137345222732,7.811923511353083,0.0012203984584992
Neutro,Fn1,Itgb3,Neutro,1,22.4013115348323,0.038725923061792,1,3.69029222727481,0.3334848385490725,82.66738583775317,0.0129145081999255
Neutro,Fn1,Itgb3,sCs,1,22.4013115348323,0.038725923061792,1,0.602581474159304,0.0544541660244277,13.49861532776107,0.002108787843856
sCs,Fn1,Itgb3,ECs,1,21.7135627023294,0.037536987836641,1,4.92014993748544,0.444624790257125,106.8339841724522,0.0166898753437507
sCs,Fn1,Itgb3,FAPs,1,21.7135627023294,0.037536987836641,1,1.25869714417192,0.1137461176662237,27.33079936321993,0.0042696866353021
sCs,Fn1,Itgb3,M1,1,21.7135627023294,0.037536987836641,1,0.245400130904583,0.0221763529808778,5.328511129556507,0.0008324334921042
sCs,Fn1,Itgb3,M2,1,21.7135627023294,0.037536987836641,1,0.348726167180263,0.0315137345222732,7.572087497011646,0.0011829306694497
sCs,Fn1,Itgb3,Neutro,1,21.7135627023294,0.037536987836641,1,3.69029222727481,0.3334848385490725,80.12939166685041,0.0125180163283207
sCs,Fn1,Itgb3,sCs,1,21.7135627023294,0.037536987836641,1,0.602581474159304,0.0544541660244277,13.08419062242013,0.0020440453677133
ECs,Grn,Tnfrsf1a,ECs,1,42.2664917151386,0.0405678579416589,1,48.5505643347442,0.2033029799830369,2052.06202521977,0.0082475664110677
ECs,Grn,Tnfrsf1a,FAPs,1,42.2664917151386,0.0405678579416589,1,45.8197927672505,0.1918680151184345,1936.641891386361,0.0077836743808727
ECs,Grn,Tnfrsf1a,M1,1,42.2664917151386,0.0405678579416589,1,45.7462864034789,0.1915602110175501,1933.535035270998,0.0077711874278341
ECs,Grn,Tnfrsf1a,M2,1,42.2664917151386,0.0405678579416589,1,47.4973459622794,0.1988926824586115,2007.546179605754,0.0080686500876164
