Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Ligand-expressing cells,Ligand detection rate,Ligand average expression value,Ligand total expression value,Ligand derived specificity of average expression value,Ligand derived specificity of total expression value,Receptor-expressing cells,Receptor detection rate,Receptor average expression value,Receptor total expression value,Receptor derived specificity of average expression value,Receptor derived specificity of total expression value,Edge average expression weight,Edge average expression derived specificity,Edge total expression weight,Edge total expression derived specificity
FAPs,Thbs1,Lrp1,MuSCs,3,1.0,52.73412466666667,158.202374,0.5986009007423507,0.5986009007423507,3,1.0,48.84026566666667,146.520797,0.158927459770244,0.158927459770244,2575.54865841912,0.09513412057116179,23179.93792577208,0.09513412057116175
MuSCs,Thbs1,Lrp1,ECs,3,1.0,32.63402300000001,97.90206900000001,0.3704386047199253,0.3704386047199253,3,1.0,2.027115333333333,6.081346,0.006596284565418616,0.006596284565418615,66.15292841165267,0.002443518450749251,595.3763557048741,0.00244351845074925
MuSCs,Thbs1,Lrp1,FAPs,3,1.0,32.63402300000001,97.90206900000001,0.3704386047199253,0.3704386047199253,3,1.0,256.4443053333333,769.332916,0.8344762556643375,0.8344762556643374,8368.809358467024,0.3091222198202048,75319.2842262032,0.3091222198202048
MuSCs,Thbs1,Lrp1,MuSCs,3,1.0,32.63402300000001,97.90206900000001,0.3704386047199253,0.3704386047199253,3,1.0,48.84026566666667,146.520797,0.158927459770244,0.158927459770244,1593.854353092111,0.05887286644897126,14344.689177829,0.05887286644897124
ECs,Thbs1,Tnfrsf11b,ECs,3,1.0,2.727484333333333,8.182453,0.03096049453772388,0.03096049453772388,1,0.3333333333333333,0.07580833333333332,0.227425,0.028190957994264,0.02819095799426401,0.2067660415027777,0.0008728060009946141,1.860894373525,0.0008728060009946143
ECs,Thbs1,Tnfrsf11b,FAPs,3,1.0,2.727484333333333,8.182453,0.03096049453772388,0.03096049453772388,3,1.0,2.095195666666667,6.285587,0.7791435378093522,0.7791435378093522,5.714613356101222,0.02412266924644931,51.431520204911,0.02412266924644931
ECs,Thbs1,Tnfrsf11b,MuSCs,3,1.0,2.727484333333333,8.182453,0.03096049453772388,0.03096049453772388,3,1.0,0.5180969999999999,1.554291,0.1926655041963838,0.1926655041963838,1.413101450647,0.005965019290279958,12.717913055823,0.00596501929027996
FAPs,Thbs1,Tnfrsf11b,ECs,3,1.0,52.73412466666667,158.202374,0.5986009007423507,0.5986009007423507,1,0.3333333333333333,0.07580833333333332,0.227425,0.028190957994264,0.02819095799426401,3.997686100772222,0.01687513284815621,35.97917490694999,0.01687513284815621
FAPs,Thbs1,Tnfrsf11b,FAPs,3,1.0,52.73412466666667,158.202374,0.5986009007423507,0.5986009007423507,3,1.0,2.095195666666667,6.285587,0.7791435378093522,0.7791435378093522,110.4883094870598,0.46639602354026,994.3947853835379,0.46639602354026
FAPs,Thbs1,Tnfrsf11b,MuSCs,3,1.0,52.73412466666667,158.202374,0.5986009007423507,0.5986009007423507,3,1.0,0.5180969999999999,1.554291,0.1926655041963838,0.1926655041963838,27.32139178742599,0.1153297443539345,245.892526086834,0.1153297443539345
MuSCs,Thbs1,Tnfrsf11b,ECs,3,1.0,32.63402300000001,97.90206900000001,0.3704386047199253,0.3704386047199253,1,0.3333333333333333,0.07580833333333332,0.227425,0.028190957994264,0.02819095799426401,2.473930893591667,0.01044301914511318,22.265378042325,0.01044301914511318
MuSCs,Thbs1,Tnfrsf11b,FAPs,3,1.0,32.63402300000001,97.90206900000001,0.3704386047199253,0.3704386047199253,3,1.0,2.095195666666667,6.285587,0.7791435378093522,0.7791435378093522,68.37466357550035,0.2886248450226428,615.371972179503,0.2886248450226428
MuSCs,Thbs1,Tnfrsf11b,MuSCs,3,1.0,32.63402300000001,97.90206900000001,0.3704386047199253,0.3704386047199253,3,1.0,0.5180969999999999,1.554291,0.1926655041963838,0.1926655041963838,16.907589414231,0.07137074055216933,152.168304728079,0.07137074055216934
ECs,Thbs1,Ptprj,ECs,3,1.0,2.727484333333333,8.182453,0.03096049453772388,0.03096049453772388,3,1.0,0.4435246666666666,1.330574,0.02616294045579069,0.02616294045579069,1.209706579780222,0.0008100175750723026,10.887359218022,0.0008100175750723027
ECs,Thbs1,Ptprj,FAPs,3,1.0,2.727484333333333,8.182453,0.03096049453772388,0.03096049453772388,3,1.0,9.112038,27.336114,0.5375072133340244,0.5375072133340244,24.852940889738,0.01664148914241525,223.676468007642,0.01664148914241525
ECs,Thbs1,Ptprj,MuSCs,3,1.0,2.727484333333333,8.182453,0.03096049453772388,0.03096049453772388,3,1.0,7.396838666666667,22.190516,0.4363298462101849,0.4363298462101849,20.17476157952756,0.01350898782023633,181.572854215748,0.01350898782023633
FAPs,Thbs1,Ptprj,ECs,3,1.0,52.73412466666667,158.202374,0.5986009007423507,0.5986009007423507,3,1.0,0.4435246666666666,1.330574,0.02616294045579069,0.02616294045579069,23.38888506474177,0.01566115972290479,210.499965582676,0.01566115972290479
