"logFC"	"logCPM"	"F"	"PValue"	"FDR"	"type"	"contrast"	"ensemblid"
-2.66196335435348	6.76182192193116	286.509920009472	2.91458284325167e-10	5.10873182716401e-07	"sCs"	"D4vsD2"	"ENSMUSG00000032186"
1.54824613951224	9.97887759339747	276.153771554253	3.66928410088439e-10	5.10873182716401e-07	"sCs"	"D4vsD2"	"ENSMUSG00000029661"
-2.94739665288754	10.3689479914145	275.638456169835	3.71236708526e-10	5.10873182716401e-07	"sCs"	"D4vsD2"	"ENSMUSG00000030249"
-3.78683292989244	8.61795142421295	275.480325103784	3.72570442171738e-10	5.10873182716401e-07	"sCs"	"D4vsD2"	"ENSMUSG00000022122"
-2.68883915820639	6.8059187784987	275.25968645302	3.74440632321456e-10	5.10873182716401e-07	"sCs"	"D4vsD2"	"ENSMUSG00000042961"
2.56696228850236	8.06283155048862	261.351808451339	5.17533322914692e-10	5.74584385508474e-07	"sCs"	"D4vsD2"	"ENSMUSG00000021614"
-2.25875397315669	8.31983479133168	258.562682010852	5.53330912493362e-10	5.74584385508474e-07	"sCs"	"D4vsD2"	"ENSMUSG00000027200"
2.61558837589599	6.90041664104869	255.318007232364	5.98624864187638e-10	5.74584385508474e-07	"sCs"	"D4vsD2"	"ENSMUSG00000027797"
-3.0008890795118	8.31262412899153	253.673330158696	6.23208810767194e-10	5.74584385508474e-07	"sCs"	"D4vsD2"	"ENSMUSG00000051331"
-3.08543240965243	5.59514790506842	502.724162334382	8.34269126706007e-12	6.28233005140963e-08	"sCs"	"D7vsD4"	"ENSMUSG00000050335"
2.41059164275705	8.06565720458006	502.447734885645	8.37197501520474e-12	6.28233005140963e-08	"sCs"	"D7vsD4"	"ENSMUSG00000025780"
3.59307880258157	6.81951858587993	387.103586290091	4.38509809133316e-11	1.95957813253831e-07	"sCs"	"D7vsD4"	"ENSMUSG00000055653"
-2.04736770030004	8.45639167272658	372.842329375398	5.55967680474924e-11	1.95957813253831e-07	"sCs"	"D7vsD4"	"ENSMUSG00000063524"
4.31306892451185	5.8161288144253	363.480199498831	6.52844527098318e-11	1.95957813253831e-07	"sCs"	"D7vsD4"	"ENSMUSG00000043719"
2.26264897033689	7.04422510688659	345.903097753444	8.9250525158176e-11	2.23245313595651e-07	"sCs"	"D7vsD4"	"ENSMUSG00000035305"
2.291731789454	7.32528744154157	324.348465565918	1.33828389036775e-10	2.86928066094846e-07	"sCs"	"D7vsD4"	"ENSMUSG00000032827"
2.368905332083	7.97023595228814	315.897311726899	1.57988534260251e-10	2.96386490272231e-07	"sCs"	"D7vsD4"	"ENSMUSG00000040488"
-2.35596907422716	6.90041664104869	282.879337545162	3.15671246384753e-10	5.26399340638041e-07	"sCs"	"D7vsD4"	"ENSMUSG00000027797"
-2.5820542465211	5.91636671430302	273.206671215949	3.92371555942964e-10	5.88871231159201e-07	"sCs"	"D7vsD4"	"ENSMUSG00000056758"
-2.69234877563806	5.19456543594127	254.168785913287	6.15682433234048e-10	7.86092862474127e-07	"sCs"	"D7vsD4"	"ENSMUSG00000026202"
-2.45824002357971	6.05305095577485	251.603747174136	6.55816653714185e-10	7.86092862474127e-07	"sCs"	"D7vsD4"	"ENSMUSG00000068735"
4.64863849036949	8.69234824460799	250.089875416113	6.80917324904295e-10	7.86092862474127e-07	"sCs"	"D7vsD4"	"ENSMUSG00000055632"
-1.54060175692371	11.5436059119532	235.554141803057	9.87848373835864e-10	1.03594593986004e-06	"sCs"	"D7vsD4"	"ENSMUSG00000026728"
1.66316848264501	9.6873167465246	233.776052479752	1.03539372987077e-09	1.03594593986004e-06	"sCs"	"D7vsD4"	"ENSMUSG00000019899"
