"symbol"	"whichMAX"
"309"	"Adamts19"	"FAPs"
"310"	"Adamts2"	"FAPs"
"311"	"Adamts20"	"sCs"
"312"	"Adamts3"	"FAPs"
"313"	"Adamts4"	"FAPs"
"314"	"Adamts5"	"FAPs"
"315"	"Adamts6"	"FAPs"
"316"	"Adamts7"	"FAPs"
"317"	"Adamts9"	"sCs"
"318"	"Adamtsl1"	"FAPs"
"319"	"Adamtsl2"	"FAPs"
"320"	"Adamtsl3"	"FAPs"
"321"	"Adamtsl4"	"FAPs"
"322"	"Adamtsl5"	"FAPs"
"323"	"Adap1"	"M2"
"324"	"Adap2"	"M2"
"325"	"Adarb1"	"FAPs"
"326"	"Adat1"	"sCs"
"327"	"Adat2"	"FAPs"
"328"	"Adat3"	"FAPs"
"329"	"Adck5"	"FAPs"
"330"	"Adcy10"	"FAPs"
"331"	"Adcy2"	"sCs"
"332"	"Adcy3"	"FAPs"
"333"	"Adcy4"	"ECs"
"334"	"Adcy5"	"FAPs"
"335"	"Adcy6"	"sCs"
"336"	"Adcyap1r1"	"FAPs"
"337"	"Add2"	"FAPs"
"338"	"Add3"	"FAPs"
"339"	"Adgb"	"M2"
"340"	"Adgra1"	"FAPs"
"341"	"Adgra2"	"FAPs"
"342"	"Adgra3"	"sCs"
"343"	"Adgrb2"	"FAPs"
"344"	"Adgrd1"	"FAPs"
"345"	"Adgre1"	"M2"
"346"	"Adgre4"	"M2"
"347"	"Adgrf2"	"sCs"
"348"	"Adgrf3"	"FAPs"
"349"	"Adgrf5"	"ECs"
"350"	"Adgrg1"	"ECs"
"351"	"Adgrg2"	"FAPs"
"352"	"Adgrg3"	"ECs"
"353"	"Adgrg5"	"M2"
"354"	"Adgrg6"	"sCs"
"355"	"Adgrg7"	"M2"
"356"	"Adgrl1"	"FAPs"
"357"	"Adgrl3"	"sCs"
"358"	"Adgrl4"	"ECs"
"359"	"Adh1"	"FAPs"
"360"	"Adh7"	"FAPs"
"361"	"Adhfe1"	"FAPs"
"362"	"Adig"	"sCs"
"363"	"Adk"	"FAPs"
"364"	"Adm"	"FAPs"
"365"	"Ado"	"sCs"
"366"	"Adora1"	"sCs"
"367"	"Adora2a"	"FAPs"
"368"	"Adora2b"	"M2"
"369"	"Adora3"	"M2"
"370"	"Adprhl1"	"sCs"
"371"	"Adprhl2"	"sCs"
"372"	"Adra1a"	"sCs"
"373"	"Adra1d"	"sCs"
"374"	"Adra2a"	"sCs"
"375"	"Adra2b"	"ECs"
"376"	"Adrb1"	"sCs"
"377"	"Adrb2"	"ECs"
"378"	"Adssl1"	"M2"
"379"	"Aebp1"	"FAPs"
"380"	"Afap1"	"FAPs"
"381"	"Afap1l1"	"sCs"
"382"	"Afap1l2"	"sCs"
"383"	"Afdn"	"ECs"
"384"	"Aff2"	"FAPs"
"385"	"Aff3"	"FAPs"
"386"	"Afmid"	"FAPs"
"387"	"Aga"	"FAPs"
"388"	"Agap1"	"FAPs"
"389"	"Agbl2"	"sCs"
"390"	"Agbl3"	"sCs"
"391"	"Ager"	"ECs"
"392"	"Agmo"	"FAPs"
"393"	"Agpat2"	"ECs"
"394"	"Agpat5"	"sCs"
"395"	"Agr2"	"ECs"
"396"	"Agrp"	"FAPs"
"397"	"Agt"	"sCs"
"398"	"Agtr1a"	"FAPs"
"399"	"Agtr2"	"FAPs"
"400"	"Ahcy"	"sCs"
"401"	"Ahdc1"	"sCs"
"402"	"Ahi1"	"sCs"
"403"	"Ahnak2"	"FAPs"
"404"	"Ahr"	"ECs"
"405"	"Ahrr"	"M2"
"406"	"AI182371"	"ECs"
"407"	"AI413582"	"M2"
"408"	"AI429214"	"FAPs"
"409"	"AI467606"	"sCs"
"410"	"AI661453"	"FAPs"
"411"	"Aicda"	"M2"
"412"	"Aif1"	"M2"
"413"	"Aif1l"	"sCs"
"414"	"Aifm2"	"FAPs"
"415"	"Aig1"	"FAPs"
"416"	"Aim2"	"M2"
"417"	"Aimp2"	"sCs"
"418"	"Ajm1"	"FAPs"
"419"	"Ajuba"	"sCs"
"420"	"Ak1"	"sCs"
"421"	"AK157302"	"FAPs"
"422"	"Ak4"	"FAPs"
"423"	"Ak5"	"FAPs"
"424"	"Ak7"	"FAPs"
"425"	"Ak8"	"M2"
"426"	"Akap1"	"FAPs"
"427"	"Akap12"	"FAPs"
"428"	"Akap17b"	"sCs"
"429"	"Akap5"	"FAPs"
"430"	"Akap6"	"sCs"
"431"	"Akip1"	"sCs"
"432"	"Akna"	"M2"
"433"	"Aknad1"	"FAPs"
"434"	"Akr1b10"	"M2"
"435"	"Akr1b3"	"sCs"
"436"	"Akr1b8"	"FAPs"
"437"	"Akr1c13"	"M2"
"438"	"Akr1c14"	"FAPs"
"439"	"Akr1c21"	"FAPs"
"440"	"Akr1e1"	"sCs"
"441"	"Alad"	"sCs"
"442"	"Alas2"	"FAPs"
"443"	"Alcam"	"M2"
"444"	"Aldh18a1"	"FAPs"
"445"	"Aldh1a1"	"FAPs"
"446"	"Aldh1a2"	"FAPs"
"447"	"Aldh1a3"	"FAPs"
"448"	"Aldh1b1"	"M2"
"449"	"Aldh1l1"	"FAPs"
"450"	"Aldh1l2"	"FAPs"
"451"	"Aldh3a1"	"sCs"
"452"	"Aldh3b1"	"M2"
"453"	"Aldh3b2"	"FAPs"
"454"	"Aldh3b3"	"M2"
"455"	"Aldh4a1"	"sCs"
"456"	"Aldh5a1"	"FAPs"
"457"	"Aldh6a1"	"FAPs"
"458"	"Aldh7a1"	"FAPs"
"459"	"Aldoa"	"sCs"
"460"	"Aldob"	"FAPs"
"461"	"Aldoc"	"M2"
"462"	"Alg11"	"FAPs"
"463"	"Alg2"	"FAPs"
"464"	"Alg6"	"FAPs"
"465"	"Alkbh2"	"FAPs"
"466"	"Alkbh4"	"ECs"
"467"	"Alkbh7"	"FAPs"
"468"	"Alms1"	"FAPs"
"469"	"Alox12"	"FAPs"
"470"	"Alox5"	"M2"
"471"	"Alox5ap"	"M2"
"472"	"Alpk1"	"M2"
"473"	"Alpk2"	"sCs"
"474"	"Alpk3"	"sCs"
"475"	"Alpl"	"FAPs"
"476"	"Als2cl"	"ECs"
"477"	"Alx4"	"FAPs"
"478"	"Alyref2"	"M2"
"479"	"Amacr"	"sCs"
"480"	"Amdhd2"	"M2"
"481"	"Amelx"	"sCs"
"482"	"Amer1"	"FAPs"
"483"	"Amh"	"sCs"
"484"	"Amhr2"	"sCs"
"485"	"Amigo1"	"FAPs"
"486"	"Amigo2"	"FAPs"
"487"	"Amigo3"	"FAPs"
"488"	"Ammecr1"	"FAPs"
"489"	"Amn"	"FAPs"
"490"	"Amot"	"FAPs"
"491"	"Amotl1"	"FAPs"
"492"	"Amotl2"	"FAPs"
"493"	"Ampd1"	"FAPs"
"494"	"Amph"	"sCs"
"495"	"Amt"	"sCs"
"496"	"Amy1"	"FAPs"
"497"	"Amz1"	"M2"
"498"	"Anapc15"	"M2"
"499"	"Anapc15-ps"	"ECs"
"500"	"Ang"	"M2"
"501"	"Angel1"	"FAPs"
"502"	"Angpt1"	"FAPs"
"503"	"Angpt4"	"FAPs"
"504"	"Angptl1"	"FAPs"
"505"	"Angptl2"	"FAPs"
"506"	"Angptl3"	"FAPs"
"507"	"Angptl4"	"FAPs"
"508"	"Angptl6"	"FAPs"
"509"	"Angptl7"	"FAPs"
"510"	"Angptl8"	"ECs"
"511"	"Ank1"	"sCs"
"512"	"Ank2"	"FAPs"
"513"	"Ank3"	"sCs"
"514"	"Ankdd1a"	"M2"
"515"	"Ankdd1b"	"FAPs"
"516"	"Ankef1"	"FAPs"
"517"	"Ankle1"	"sCs"
"518"	"Ankmy1"	"sCs"
"519"	"Ankmy2"	"FAPs"
"520"	"Ankrd1"	"sCs"
"521"	"Ankrd10"	"sCs"
"522"	"Ankrd13b"	"sCs"
"523"	"Ankrd2"	"sCs"
"524"	"Ankrd23"	"sCs"
"525"	"Ankrd24"	"FAPs"
"526"	"Ankrd26"	"sCs"
"527"	"Ankrd27"	"FAPs"
"528"	"Ankrd29"	"FAPs"
"529"	"Ankrd33b"	"ECs"
"530"	"Ankrd34b"	"sCs"
"531"	"Ankrd35"	"FAPs"
"532"	"Ankrd36"	"FAPs"
"533"	"Ankrd39"	"FAPs"
"534"	"Ankrd42"	"FAPs"
"535"	"Ankrd46"	"FAPs"
"536"	"Ankrd53"	"FAPs"
"537"	"Ankrd55"	"FAPs"
"538"	"Ankrd6"	"sCs"
"539"	"Ankrd61"	"sCs"
"540"	"Ankrd63"	"M2"
"541"	"Ankrd66"	"M2"
"542"	"Ankrd7"	"ECs"
"543"	"Anks1b"	"ECs"
"544"	"Anks6"	"FAPs"
"545"	"Anln"	"sCs"
"546"	"Ano1"	"sCs"
"547"	"Ano2"	"FAPs"
"548"	"Ano5"	"sCs"
"549"	"Ano7"	"FAPs"
"550"	"Ano8"	"FAPs"
"551"	"Anp32e"	"sCs"
"552"	"Anpep"	"FAPs"
"553"	"Antxr1"	"FAPs"
"554"	"Antxr2"	"FAPs"
"555"	"Anxa8"	"FAPs"
"556"	"Anxa9"	"FAPs"
"557"	"Aoah"	"M2"
"558"	"Aoc2"	"sCs"
"559"	"Aoc3"	"FAPs"
"560"	"Aox1"	"sCs"
"561"	"Ap1g2"	"M2"
"562"	"Ap1m2"	"ECs"
"563"	"Ap1s3"	"M2"
"564"	"Ap3b2"	"sCs"
"565"	"Ap3m2"	"FAPs"
"566"	"Ap5b1"	"M2"
"567"	"Ap5s1"	"M2"
"568"	"Apba1"	"M2"
"569"	"Apba2"	"sCs"
"570"	"Apbb1"	"FAPs"
"571"	"Apbb1ip"	"M2"
"572"	"Apc2"	"FAPs"
"573"	"Apcdd1"	"FAPs"
"574"	"Apex2"	"FAPs"
"575"	"Aph1c"	"M2"
"576"	"Aplf"	"FAPs"
"577"	"Apln"	"ECs"
"578"	"Aplnr"	"ECs"
"579"	"Aplp1"	"FAPs"
"580"	"Apoa2"	"M2"
"581"	"Apobec1"	"M2"
"582"	"Apobec2"	"sCs"
"583"	"Apobec4"	"sCs"
"584"	"Apobr"	"M2"
"585"	"Apoc1"	"M2"
"586"	"Apoc2"	"M2"
"587"	"Apoc4"	"M2"
"588"	"Apod"	"FAPs"
"589"	"Apoe"	"M2"
"590"	"Apol10b"	"ECs"
"591"	"Apol6"	"FAPs"
"592"	"Apol7b"	"sCs"
"593"	"Apol7e"	"FAPs"
"594"	"Apol9a"	"FAPs"
"595"	"Apol9b"	"FAPs"
"596"	"Apold1"	"sCs"
"597"	"Apom"	"FAPs"
"598"	"Apon"	"sCs"
"599"	"Apoo"	"sCs"
"600"	"Apool"	"sCs"
"601"	"Aqp1"	"ECs"
"602"	"Aqp11"	"FAPs"
"603"	"Aqp7"	"ECs"
"604"	"Ar"	"FAPs"
