Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Ligand detection rate,Ligand average expression value,Ligand derived specificity of average expression value,Receptor detection rate,Receptor average expression value,Receptor derived specificity of average expression value,Edge average expression weight,Edge average expression derived specificity
FAPs,F13a1,Itgb1,Inflammatory-Mac,1.0,0.4105396666666667,0.001389151983434436,1.0,74.27261733333333,0.1208629960061633,30.491855562487558,0.0001678970706257901
FAPs,F13a1,Itgb1,MuSCs,1.0,0.4105396666666667,0.001389151983434436,1.0,169.25609550000001,0.27542854323587107,69.48634102787152,0.0003826121071305675
FAPs,F13a1,Itgb1,Resolving-Mac,1.0,0.4105396666666667,0.001389151983434436,1.0,84.85695366666668,0.13808676764520902,34.83714547266212,0.0001918235071603922
Inflammatory-Mac,F13a1,Itgb1,ECs,1.0,72.13387333333333,0.2440809533154531,1.0,138.2190853333333,0.2249223651785973,9970.277993683858,0.054899265314758514
Inflammatory-Mac,F13a1,Itgb1,FAPs,1.0,72.13387333333333,0.2440809533154531,1.0,147.91433,0.2406993279341594,10669.633544404871,0.058750121424558474
Inflammatory-Mac,F13a1,Itgb1,Inflammatory-Mac,1.0,72.13387333333333,0.2440809533154531,1.0,74.27261733333333,0.1208629960061633,5357.571570857804,0.02950035528574615
Inflammatory-Mac,F13a1,Itgb1,MuSCs,1.0,72.13387333333333,0.2440809533154531,1.0,169.25609550000001,0.27542854323587107,12209.09775369157,0.0672268614032979
Inflammatory-Mac,F13a1,Itgb1,Resolving-Mac,1.0,72.13387333333333,0.2440809533154531,1.0,84.85695366666668,0.13808676764520902,6121.0607472438705,0.03370434988709208
MuSCs,F13a1,Itgb1,ECs,1.0,2.0947134999999997,0.0070879275488244875,1.0,138.2190853333333,0.2249223651785973,289.52938400538534,0.001594233428496142
MuSCs,F13a1,Itgb1,FAPs,1.0,2.0947134999999997,0.0070879275488244875,1.0,147.91433,0.2406993279341594,309.838143894455,0.001706059397448068
MuSCs,F13a1,Itgb1,Inflammatory-Mac,1.0,2.0947134999999997,0.0070879275488244875,1.0,74.27261733333333,0.1208629960061633,155.5798542084673,0.0008566681590255492
MuSCs,F13a1,Itgb1,MuSCs,1.0,2.0947134999999997,0.0070879275488244875,1.0,169.25609550000001,0.27542854323587107,354.5430282011393,0.001952217559334127
MuSCs,F13a1,Itgb1,Resolving-Mac,1.0,2.0947134999999997,0.0070879275488244875,1.0,84.85695366666668,0.13808676764520902,177.75100641444118,0.000978749004520603
Resolving-Mac,F13a1,Itgb1,ECs,1.0,220.0258686666666,0.7445063088467732,1.0,138.2190853333333,0.2249223651785973,30411.77431677879,0.1674561198762035
Resolving-Mac,F13a1,Itgb1,FAPs,1.0,220.0258686666666,0.7445063088467732,1.0,147.91433,0.2406993279341594,32544.978946497988,0.17920216818216
Resolving-Mac,F13a1,Itgb1,Inflammatory-Mac,1.0,220.0258686666666,0.7445063088467732,1.0,74.27261733333333,0.1208629960061633,16341.89714691359,0.08998326303271098
Resolving-Mac,F13a1,Itgb1,MuSCs,1.0,220.0258686666666,0.7445063088467732,1.0,169.25609550000001,0.27542854323587107,37240.719439515786,0.2050582880755822
Resolving-Mac,F13a1,Itgb1,Resolving-Mac,1.0,220.0258686666666,0.7445063088467732,1.0,84.85695366666668,0.13808676764520902,18670.72494291542,0.1028064696801166
