Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Ligand-expressing cells,Ligand detection rate,Ligand average expression value,Ligand total expression value,Ligand derived specificity of average expression value,Ligand derived specificity of total expression value,Receptor-expressing cells,Receptor detection rate,Receptor average expression value,Receptor total expression value,Receptor derived specificity of average expression value,Receptor derived specificity of total expression value,Edge average expression weight,Edge average expression derived specificity,Edge total expression weight,Edge total expression derived specificity
MuSCs,Agt,Agtr2,MuSCs,3,1.0,4.910053635083901,14.7301609052517,0.09764082865806907,0.09764082865806908,2,0.6666666666666666,1.49327042032616,4.479811260978479,0.2421149879225557,0.2421149879225556,7.332037855485725,0.02364030805129672,65.98834069937153,0.02364030805129672
ECs,Agt,Lrp2,FAPs,3,1.0,3.403868207217877,10.21160462165363,0.06768897798199518,0.06768897798199518,1,0.3333333333333333,0.331954592470103,0.9958637774103091,0.3552907841027205,0.3552907841027205,1.129929683548951,0.02404927006233485,10.16936715194056,0.02404927006233485
ECs,Agt,Lrp2,MuSCs,3,1.0,3.403868207217877,10.21160462165363,0.06768897798199518,0.06768897798199518,1,0.3333333333333333,0.6023634572041867,1.80709037161256,0.6447092158972794,0.6447092158972794,2.050365821167178,0.04363970791966032,18.4532923905046,0.04363970791966032
FAPs,Agt,Lrp2,FAPs,3,1.0,41.97296841216896,125.9189052365069,0.8346701933599359,0.8346701933599359,1,0.3333333333333333,0.331954592470103,0.9958637774103091,0.3552907841027205,0.3552907841027205,13.93311962402205,0.296550627466021,125.3980766161985,0.296550627466021
FAPs,Agt,Lrp2,MuSCs,3,1.0,41.97296841216896,125.9189052365069,0.8346701933599359,0.8346701933599359,1,0.3333333333333333,0.6023634572041867,1.80709037161256,0.6447092158972794,0.6447092158972794,25.28298236187622,0.5381195658939149,227.546841256886,0.5381195658939149
MuSCs,Agt,Lrp2,FAPs,3,1.0,4.910053635083901,14.7301609052517,0.09764082865806907,0.09764082865806908,1,0.3333333333333333,0.331954592470103,0.9958637774103091,0.3552907841027205,0.3552907841027205,1.629914853440624,0.03469088657436475,14.66923368096562,0.03469088657436475
MuSCs,Agt,Lrp2,MuSCs,3,1.0,4.910053635083901,14.7301609052517,0.09764082865806907,0.09764082865806908,1,0.3333333333333333,0.6023634572041867,1.80709037161256,0.6447092158972794,0.6447092158972794,2.957636882687122,0.06294994208370432,26.61873194418411,0.06294994208370433
ECs,Serping1,Sele,ECs,3,1.0,261.1514610052193,783.454383015658,0.008927654244985211,0.008927654244985211,3,1.0,59.02785703897053,177.0835711169116,0.9775632234919915,0.9775632234919917,15415.21110573438,0.008727346461949705,138736.8999516094,0.008727346461949706
ECs,Serping1,Sele,FAPs,3,1.0,261.1514610052193,783.454383015658,0.008927654244985211,0.008927654244985211,2,0.6666666666666666,1.354792001482143,4.06437600444643,0.02243677650800838,0.02243677650800838,353.805910545247,0.0002003077830355055,3184.253194907223,0.0002003077830355055
FAPs,Serping1,Sele,ECs,3,1.0,22950.51722544467,68851.551676334,0.784580265198104,0.7845802651981039,3,1.0,59.02785703897053,177.0835711169116,0.9775632234919915,0.9775632234919917,1354719.849753978,0.7669768131352601,12192478.64778581,0.7669768131352601
FAPs,Serping1,Sele,FAPs,3,1.0,22950.51722544467,68851.551676334,0.784580265198104,0.7845802651981039,2,0.6666666666666666,1.354792001482143,4.06437600444643,0.02243677650800838,0.02243677650800838,31093.17716691058,0.01760345206284381,279838.5945021953,0.0176034520628438
MuSCs,Serping1,Sele,ECs,3,1.0,6040.299841779327,18120.89952533798,0.2064920805569108,0.2064920805569108,3,1.0,59.02785703897053,177.0835711169116,0.9775632234919915,0.9775632234919917,356545.9555330664,0.2018590638947818,3208913.599797598,0.2018590638947818
MuSCs,Serping1,Sele,FAPs,3,1.0,6040.299841779327,18120.89952533798,0.2064920805569108,0.2064920805569108,2,0.6666666666666666,1.354792001482143,4.06437600444643,0.02243677650800838,0.02243677650800838,8183.349912196488,0.004633016662129071,73650.1492097684,0.004633016662129071
ECs,Serping1,Lrp1,ECs,3,1.0,261.1514610052193,783.454383015658,0.008927654244985211,0.008927654244985211,3,1.0,868.9746325269476,2606.923897580843,0.01574733709784817,0.01574733709784817,226933.994860886,0.0001405867808888173,2042405.953747974,0.0001405867808888173
ECs,Serping1,Lrp1,FAPs,3,1.0,261.1514610052193,783.454383015658,0.008927654244985211,0.008927654244985211,3,1.0,41293.65428951551,123880.9628685465,0.7483130919576523,0.7483130919576523,10783898.14795142,0.006680680551993743,97055083.33156274,0.006680680551993743
ECs,Serping1,Lrp1,MuSCs,3,1.0,261.1514610052193,783.454383015658,0.008927654244985211,0.008927654244985211,3,1.0,13019.69346855973,39059.0804056792,0.2359395709444996,0.2359395709444996,3400111.971154486,0.002106386912102651,30601007.74039037,0.002106386912102651
FAPs,Serping1,Lrp1,ECs,3,1.0,22950.51722544467,68851.551676334,0.784580265198104,0.7845802651981039,3,1.0,868.9746325269476,2606.923897580843,0.01574733709784817,0.01574733709784817,19943417.27228416,0.01235504991639366,179490755.4505574,0.01235504991639366
FAPs,Serping1,Lrp1,FAPs,3,1.0,22950.51722544467,68851.551676334,0.784580265198104,0.7845802651981039,3,1.0,41293.65428951551,123880.9628685465,0.7483130919576523,0.7483130919576523,947710724.0730827,0.587111684139348,8529396516.657743,0.5871116841393479
FAPs,Serping1,Lrp1,MuSCs,3,1.0,22950.51722544467,68851.551676334,0.784580265198104,0.7845802651981039,3,1.0,13019.69346855973,39059.0804056792,0.2359395709444996,0.2359395709444996,298808699.2201895,0.1851135311423624,2689278292.981706,0.1851135311423623
