Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Ligand detection rate,Ligand average expression value,Ligand derived specificity of average expression value,Receptor detection rate,Receptor average expression value,Receptor derived specificity of average expression value,Edge average expression weight,Edge average expression derived specificity
ECs,Ntn1,Unc5a,FAPs,1.0,2.082653666666667,0.0472190032704503,1.0,1.388310333333333,0.1700679944331107,2.8913696061878884,0.008030441185335978
ECs,Ntn1,Unc5a,MuSCs,1.0,2.082653666666667,0.0472190032704503,1.0,1.7073403333333332,0.2091491645153968,3.555798605464556,0.00987581508326447
FAPs,Ntn1,Unc5a,ECs,1.0,37.28222,0.8452818134314446,1.0,5.067615666666667,0.6207828410514926,188.93196216011341,0.5247364456311299
FAPs,Ntn1,Unc5a,FAPs,1.0,37.28222,0.8452818134314446,1.0,1.388310333333333,0.1700679944331107,51.75929127560667,0.1437553827410686
FAPs,Ntn1,Unc5a,MuSCs,1.0,37.28222,0.8452818134314446,1.0,1.7073403333333332,0.2091491645153968,63.65343792220668,0.1767899850592462
MuSCs,Ntn1,Unc5a,ECs,1.0,4.7413870000000005,0.107499183298105,1.0,5.067615666666667,0.6207828410514926,24.027527042929673,0.0667336484185128
MuSCs,Ntn1,Unc5a,FAPs,1.0,4.7413870000000005,0.107499183298105,1.0,1.388310333333333,0.1700679944331107,6.582516566432334,0.01828217050670607
MuSCs,Ntn1,Unc5a,MuSCs,1.0,4.7413870000000005,0.107499183298105,1.0,1.7073403333333332,0.2091491645153968,8.095161261042335,0.02248336437288617
MuSCs,Lama1,Itga2,ECs,0.6666666666666666,0.09358433333333334,1.0,0.6666666666666666,1.242496666666667,0.3272238221337333,0.1162782222188889,0.3272238221337333
MuSCs,Lama1,Itga2,FAPs,0.6666666666666666,0.09358433333333334,1.0,1.0,1.744414,0.4594087306446919,0.1632498212473333,0.4594087306446919
MuSCs,Lama1,Itga2,MuSCs,0.6666666666666666,0.09358433333333334,1.0,1.0,0.8101743333333333,0.2133674472215748,0.07581962486877779,0.2133674472215748
MuSCs,Lama1,Itgb8,FAPs,0.6666666666666666,0.09358433333333334,1.0,1.0,3.3234209999999997,0.3195628457125253,0.311020138671,0.3195628457125253
MuSCs,Lama1,Itgb8,MuSCs,0.6666666666666666,0.09358433333333334,1.0,1.0,6.963852666666665,0.6696077852558425,0.6517075092415554,0.6696077852558425
MuSCs,Lama1,Itgb1,ECs,0.6666666666666666,0.09358433333333334,1.0,1.0,112.513392,0.3275312977368564,10.529490781392,0.3275312977368564
MuSCs,Lama1,Itgb1,FAPs,0.6666666666666666,0.09358433333333334,1.0,1.0,106.314466,0.3094859589441663,9.949368424299331,0.3094859589441663
MuSCs,Lama1,Itgb1,MuSCs,0.6666666666666666,0.09358433333333334,1.0,1.0,124.6916553333333,0.3629827433189773,11.66918543659978,0.3629827433189773
MuSCs,Lama1,Itga7,ECs,0.6666666666666666,0.09358433333333334,1.0,1.0,3.349417,0.0602955800561437,0.3134529570003334,0.0602955800561437
MuSCs,Lama1,Itga7,FAPs,0.6666666666666666,0.09358433333333334,1.0,1.0,1.2828760000000001,0.023094094452887,0.1200570952093334,0.023094094452887
MuSCs,Lama1,Itga7,MuSCs,0.6666666666666666,0.09358433333333334,1.0,1.0,50.917666,0.9166103254909692,4.7650958274993345,0.9166103254909692
MuSCs,Lama1,Itga1,ECs,0.6666666666666666,0.09358433333333334,1.0,1.0,57.77686466666668,0.5795494107546101,5.407009361920223,0.5795494107546101
MuSCs,Lama1,Itga1,FAPs,0.6666666666666666,0.09358433333333334,1.0,1.0,9.278736333333336,0.0930733470145044,0.8683443539307779,0.0930733470145044
MuSCs,Lama1,Itga1,MuSCs,0.6666666666666666,0.09358433333333334,1.0,1.0,32.637132,0.3273772422308855,3.054324240132,0.3273772422308855
MuSCs,Lama1,Rpsa,ECs,0.6666666666666666,0.09358433333333334,1.0,1.0,52.80829433333334,0.1724060238174878,4.942029019655447,0.1724060238174878
MuSCs,Lama1,Rpsa,FAPs,0.6666666666666666,0.09358433333333334,1.0,1.0,81.0776696666667,0.2646985445010758,7.587599663975223,0.2646985445010758
MuSCs,Lama1,Rpsa,MuSCs,0.6666666666666666,0.09358433333333334,1.0,1.0,172.4159456666667,0.5628954316814363,16.13543133125122,0.5628954316814363
FAPs,Edil3,Itgb3,ECs,1.0,2.531682,0.6122191758781785,1.0,8.970048,0.48710878300947597,22.709309060735997,0.2982173376970839
FAPs,Edil3,Itgb3,FAPs,1.0,2.531682,0.6122191758781785,1.0,9.012070666666666,0.48939077860401603,22.815697089527998,0.2996144191593308
FAPs,Edil3,Itgb3,MuSCs,1.0,2.531682,0.6122191758781785,1.0,0.4327576666666667,0.02350043838650813,1.095604795062,0.014387419021763919
MuSCs,Edil3,Itgb3,ECs,1.0,1.6035723333333332,0.3877808241218215,1.0,8.970048,0.48710878300947597,14.384120801472001,0.1888914453123921
MuSCs,Edil3,Itgb3,FAPs,1.0,1.6035723333333332,0.3877808241218215,1.0,9.012070666666666,0.48939077860401603,14.451507187111561,0.1897763594446852
