Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand expressing cells,Delta ligand detection rate,Delta ligand expression,Delta ligand specificity,Delta receptor expressing cells,Delta receptor detection rate,Delta receptor expression,Delta receptor specificity,Delta edge expression weight,Delta edge specificity weight
MuSCs,Liph,Lpar1,MuSCs,2.0,0.6666666666666666,1.4929398923264852,0.6858820242020197,3.0,1.0,747.8171617832907,0.2803853784148587,1116.446072992644,0.1923112909038326
MuSCs,Gnai2,Cxcr2,FAPs,3.0,1.0,1435.91865127104,0.2100772921821384,2.0,0.6666666666666666,0.7662212362836601,0.1830092159589398,1100.231364179662,0.03844608053303025
FAPs,Calca,Calcrl,ECs,1.0,0.3333333333333333,0.3488560931282167,0.2412187958767243,3.0,1.0,3112.7679549946197,0.5702344012886864,1085.908067594132,0.1375512556463418
MuSCs,Efnb2,Grm5,ECs,3.0,1.0,448.63636347693335,0.08550325053181958,1.0,0.3333333333333333,2.419817516991086,1.0,1085.618131100664,0.08550325053181958
ECs,Slitrk1,Ptprs,FAPs,2.0,0.6666666666666666,1.307103898960163,0.01741099124286568,3.0,1.0,829.7353585282721,0.2814676343543899,1084.550322237413,0.004900630516894401
FAPs,Apoe,Lrp2,ECs,3.0,1.0,834.3754277380334,0.2440545697476776,1.0,0.3333333333333333,1.27165338312656,0.6263948191777434,1061.036335480741,0.1528745180865985
FAPs,Gnai2,Cxcr2,MuSCs,3.0,1.0,1247.9826684075301,0.1825819446228548,2.0,0.6666666666666666,0.8402858563850684,0.2006992869373921,1048.662185276544,0.03664406609344937
ECs,Wnt10b,Fzd7,FAPs,2.0,0.6666666666666666,2.149738707522077,0.023977614845724433,3.0,1.0,482.9149483735309,0.2650923999154168,1038.1409569596049,0.006356283463700617
FAPs,Edn2,Ednra,MuSCs,1.0,0.3333333333333333,0.3488560931282167,1.0,3.0,1.0,2965.7167006060304,0.8567051480641907,1034.6083414985249,0.8567051480641907
FAPs,Serpine1,Lrp2,ECs,3.0,1.0,803.4341185700232,0.4777063299353781,1.0,0.3333333333333333,1.27165338312656,0.6263948191777434,1021.6897149988761,0.2992327701599347
FAPs,Nmb,Grpr,ECs,3.0,1.0,371.4416093408154,0.9199023737990633,1.0,0.3333333333333333,2.679004558230073,0.7094124110707419,995.0937645403584,0.6525901609464922
FAPs,Zp3,Mertk,ECs,1.0,0.3333333333333333,1.04101401369093,0.3778596372180772,3.0,1.0,954.4182709089661,0.3621844626053824,993.5627949389,0.13685488964609402
FAPs,Slitrk1,Ptprs,MuSCs,1.0,0.3333333333333333,0.5205070068454666,0.006933299598636459,3.0,1.0,1839.550274830576,0.6240228993626619,957.4988074938188,0.004326537717691103
FAPs,Gnai2,Cxcr2,FAPs,3.0,1.0,1247.9826684075301,0.1825819446228548,2.0,0.6666666666666666,0.7662212362836601,0.1830092159589398,956.2308230477983,0.033414178533687215
MuSCs,Vasp,Cxcr2,MuSCs,3.0,1.0,1135.986384413786,0.5517610742454184,2.0,0.6666666666666666,0.8402858563850684,0.2006992869373921,954.5532918689161,0.110738054160865
MuSCs,Cd44,Sele,MuSCs,3.0,1.0,1182.8983132692301,0.3701922358973491,1.0,0.3333333333333333,0.8010988264356866,0.01723257392774212,947.6184505527336,0.006379365072577218
MuSCs,Sele,Cd44,MuSCs,1.0,0.3333333333333333,0.8010988264356866,0.01723257392774212,3.0,1.0,1182.8983132692301,0.3701922358973491,947.6184505527336,0.006379365072577218
MuSCs,Serpine1,Lrp2,ECs,3.0,1.0,725.6121554444011,0.4314349014089491,1.0,0.3333333333333333,1.27165338312656,0.6263948191777434,922.727152308628,0.2702485870550262
MuSCs,Vcan,Selp,MuSCs,3.0,1.0,139.6797582018183,0.016497093512365068,3.0,1.0,6.5064472754381,0.0470130015185473,908.8189821860733,0.0007755778823484357
ECs,Bsg,Sele,MuSCs,3.0,1.0,1099.220335925591,0.3741664591733941,1.0,0.3333333333333333,0.8010988264356866,0.01723257392774212,880.5841211042322,0.006447851168987017
FAPs,Cd44,Sele,MuSCs,3.0,1.0,1096.296331026946,0.34308983742422106,1.0,0.3333333333333333,0.8010988264356866,0.01723257392774212,878.2417042114356,0.005912320987269914
MuSCs,Sele,Cd44,FAPs,1.0,0.3333333333333333,0.8010988264356866,0.01723257392774212,3.0,1.0,1096.296331026946,0.34308983742422106,878.2417042114356,0.005912320987269914
MuSCs,Vasp,Cxcr2,FAPs,3.0,1.0,1135.986384413786,0.5517610742454184,2.0,0.6666666666666666,0.7662212362836601,0.1830092159589398,870.4168918669367,0.1009773615943164
FAPs,C1qa,Cspg4,FAPs,1.0,0.3333333333333333,0.7807605102681999,0.2883289037980832,3.0,1.0,1105.501862925337,0.1462518448764327,863.1321986000322,0.042168634111669163
