"gene"	"Old.FAPs.D0_1"	"Old.FAPs.D0_2"	"Old.FAPs.D0_3"	"Old.sCs.D0_1"	"Old.sCs.D0_3"	"Old.sCs.D0_2"	"Old.ECs.D0_2"	"Old.ECs.D0_1"	"Old.ECs.D0_3"
"ENSMUSG00000009214"	0	0	0	0	0	0	0.643901	0	0
"ENSMUSG00000009216"	1.405093	0.761422	0	0	0	0	0	0	0
"ENSMUSG00000009418"	97.743202	90.792557	102.38488	7.183187	5.887189	9.11319	26.701466	48.277729	3.138075
"ENSMUSG00000009551"	0	0	0	1.646149	1.327706	1.760254	5.148026	10.102589	14.276635
"ENSMUSG00000009563"	3.825192	8.450851	5.590787	2.965249	3.502279	2.218883	3.926958	10.872764	9.63318
"ENSMUSG00000009614"	1.282439	1.950503	2.475394	1.421246	1.450957	0.929093	0.388323	0.453612	0
"ENSMUSG00000009633"	20.204479	19.096569	20.272213	10.000988	9.554695	9.0265	0.784782	0.252185	66.804596
"ENSMUSG00000009772"	2.933368	2.428374	3.610421	0.518399	0.361437	0.728748	2.379484	5.568777	55.452541
"ENSMUSG00000009905"	8.975124	6.726301	9.131761	2.287718	2.652272	3.219395	2.632361	4.357223	6.939048
"ENSMUSG00000009907"	18.328321	14.190134	16.226864	7.9953	10.131403	10.37874	8.513306	18.727369	58.219624
"ENSMUSG00000010175"	0.149333	0.125154	0	5.694809	5.485326	7.642165	0.180899	0	0
"ENSMUSG00000010290"	3.094148	3.40918	4.48483	1.832532	3.260001	2.865223	1.910208	2.792408	2.732487
"ENSMUSG00000010311"	12.623466	13.499744	14.282173	2.10228	1.022644	1.397971	0.125449	0.421641	0
"ENSMUSG00000010453"	12.428411	12.249518	17.844578	11.927067	13.1872	12.792298	7.712615	8.015514	11.902534
"ENSMUSG00000010609"	4.254702	6.290232	6.695601	1.719459	2.236092	1.950018	3.095008	2.886938	15.999177
"ENSMUSG00000012187"	0	0	0	0	0	0	0	0	0
"ENSMUSG00000013275"	6.942535	5.260025	6.215199	6.888311	5.816971	6.989521	2.882556	4.560872	8.24442
"ENSMUSG00000013465"	11.085597	17.524483	20.438843	6.809136	8.679901	7.987431	9.967512	13.112718	12.461999
"ENSMUSG00000013698"	43.123226	47.309082	52.722466	18.617289	23.308287	23.500704	24.354641	44.571476	5.239705
"ENSMUSG00000013973"	8.761665	5.75005	5.591602	5.408827	7.064993	7.005363	3.90613	4.880565	4.562128
"ENSMUSG00000013997"	9.651352	6.246883	10.469219	6.313058	4.91438	5.507806	4.187991	6.051364	11.167725
"ENSMUSG00000014602"	0	0.143422	0.274801	3.389833	4.760028	3.440389	0	0	0.617789
"ENSMUSG00000014852"	0	0	0	0.015072	0.054004	0.038735	0	0.054681	0.769388
"ENSMUSG00000014867"	46.916157	39.075932	44.212654	9.013174	11.603134	11.027497	12.300036	36.605488	44.175453
"ENSMUSG00000014873"	14.041469	15.494379	15.334378	7.547235	8.623524	8.519855	4.745315	13.764642	7.252011
"ENSMUSG00000014980"	14.392772	12.26502	12.464949	4.261161	6.573474	7.776479	5.741984	14.21562	1.883227
"ENSMUSG00000015085"	72.641556	83.389687	117.427689	3.338544	4.313082	4.639059	0	0.32179	0
"ENSMUSG00000015087"	13.212384	13.171179	12.167903	7.495452	9.670556	12.478623	6.190005	12.986603	5.678439
"ENSMUSG00000015090"	0	0	0	0	0.167614	0.232234	0	0	0
"ENSMUSG00000015092"	20.161373	19.679615	17.748814	14.266538	11.207586	13.704719	11.847722	24.627655	24.799391
"ENSMUSG00000015093"	1.90294	1.489757	1.467652	0.294381	0	0	0	0	0.968248
"ENSMUSG00000015094"	60.802742	56.460083	92.322403	12.425599	15.733948	18.115694	14.140332	41.626038	0.205804
"ENSMUSG00000015095"	7.525877	5.506059	8.125755	6.687438	9.118179	7.465119	3.88976	7.660903	3.648807
"ENSMUSG00000015222"	11.635966	15.174544	11.896763	24.010733	32.796436	28.180868	0.465557	0.59183	0.003818
"ENSMUSG00000015314"	0	0.006193	0	0	0	0	0	0	0.145313
"ENSMUSG00000015316"	0	0	0	0	0	0	0	0	0
"ENSMUSG00000015335"	1.827109	0.764925	0	1.200059	1.224882	0.618379	1.350875	3.632565	0.328814
"ENSMUSG00000015355"	0	0	0	0	0	0	0	3.445747	35.062027
"ENSMUSG00000015488"	12.037036	14.191292	15.006434	4.725463	5.716362	6.292222	1.80628	4.031003	56.028008
"ENSMUSG00000015619"	0	0	0	0	0.050846	0	0.659437	0	0
"ENSMUSG00000015790"	24.269701	26.553452	32.839531	8.929278	11.404537	11.62061	8.153315	16.986715	11.766495
"ENSMUSG00000015829"	0	0.021206	0	0.00057	0.084005	0.006462	0	0	0.074906
"ENSMUSG00000015846"	8.261422	8.34868	12.406261	5.400118	7.729047	7.087426	3.468796	4.834576	1.710813
"ENSMUSG00000015962"	0	0.421113	0.524504	0.225496	0	0.19992	0.934322	1.643445	0
"ENSMUSG00000016179"	0	0	0	0	0	0	0	0	0.202222
"ENSMUSG00000016181"	2.434032	4.508318	4.42364	1.951344	2.017596	4.475425	0.913425	4.270368	2.443585
"ENSMUSG00000016194"	117.614273	98.858047	109.012085	7.070784	2.975708	8.098399	0	0	7.076516
"ENSMUSG00000016200"	0.148803	0.219207	0.326652	0	0	0.043036	0	0	0
"ENSMUSG00000016262"	21.456905	25.30975	31.073563	1.150827	1.743179	1.881969	0.566348	0	0
"ENSMUSG00000016493"	5.000261	4.673395	2.915645	3.471492	3.874744	5.225178	2.066743	4.845448	22.135496
"ENSMUSG00000016494"	268.024353	337.206512	356.208557	9.004834	3.668206	9.89511	129.706741	228.50209	2.479668
"ENSMUSG00000016524"	0	0	0	0	0	0	0	0	0
"ENSMUSG00000016526"	0	0	0	0.046411	0	0	0	0.700495	1.644498
"ENSMUSG00000016529"	0	0	0	0	0.262073	0	0.680535	3.174102	109.060753
"ENSMUSG00000016918"	92.334724	91.31691	84.86982	27.701605	24.309704	29.773159	6.597024	4.750104	0.188124
"ENSMUSG00000017418"	14.694669	19.452124	22.921963	11.575212	12.438174	15.935473	6.5064	12.975293	71.158195
"ENSMUSG00000018196"	4.963759	6.83291	7.932258	3.127187	4.300987	2.931128	2.407109	6.159661	7.551554
"ENSMUSG00000018199"	10.06054	11.100877	9.066957	4.810186	7.615394	6.448709	5.140093	8.856317	4.578712
"ENSMUSG00000018417"	10.601239	7.735098	9.270618	77.956055	90.875534	100.241806	28.188148	52.414772	0.418401
"ENSMUSG00000019230"	0.697825	0.156355	0.47769	0.179719	0	0	0	0	0
"ENSMUSG00000019699"	19.408428	17.784132	18.461935	10.400378	17.495871	13.700018	13.437239	24.746624	8.306807
"ENSMUSG00000022591"	0	0	0	0	0	0	0.215065	0.705829	0.253766
"ENSMUSG00000022995"	2.428988	5.462161	3.853979	18.144609	24.974623	21.705147	13.97012	15.268865	1.550207
"ENSMUSG00000023094"	3.416431	3.310258	3.803379	0.479672	0.412776	0.713509	0	0.759031	2.116044
"ENSMUSG00000023150"	27.129532	27.02784	27.216923	19.370831	18.141001	18.290472	17.084574	40.69828	94.813774
"ENSMUSG00000023206"	13.076052	11.305521	9.795998	9.322135	16.140862	12.924368	3.451708	5.20219	3.725236
"ENSMUSG00000025776"	7.571067	7.039303	7.398372	0.774752	0.390454	0.557092	1.006642	0.511424	0
"ENSMUSG00000025779"	4.808063	5.212013	1.980931	0.847395	1.686682	2.323577	3.708865	9.712088	19.036263
"ENSMUSG00000025780"	119.803368	147.097336	118.285011	13.755194	16.655092	16.022881	0.958527	1.041072	3.523027
"ENSMUSG00000025781"	56.18206	54.817352	42.527809	39.994732	55.893749	50.980953	29.38896	77.320389	67.200005
"ENSMUSG00000025782"	5.40783	4.431013	6.080482	2.982482	4.413597	4.414944	3.336735	6.096533	6.612924
"ENSMUSG00000025815"	1.586896	2.008118	2.108044	1.556896	1.550053	0.880888	0	0	0.202992
"ENSMUSG00000025816"	12.246701	12.743117	15.37944	8.463216	9.030838	9.353475	6.420866	9.19784	4.360744
"ENSMUSG00000025817"	4.364294	6.542092	8.011353	3.667346	4.578639	5.415968	3.667573	13.047184	6.2416
"ENSMUSG00000025900"	0	0	0	0.150862	0	0.153021	0	0	0
"ENSMUSG00000025902"	0.371588	0	0.780999	0.23447	0.146014	1.244502	27.119026	34.424297	0
"ENSMUSG00000025903"	16.755739	22.409054	14.683886	10.013132	12.633922	15.09048	18.829273	59.24757	47.641899
"ENSMUSG00000025905"	0	0	0	0	0	0	0	0	0
"ENSMUSG00000025909"	0.010374	0	0.190998	0.082137	0	0.025621	0.000417	0.001378	0
"ENSMUSG00000025911"	3.07615	1.265392	2.669641	0.385069	0.56268	0.431283	1.033108	1.460257	2.518258
"ENSMUSG00000025912"	1.865696	1.459491	1.38276	0.514791	0.848516	0.553943	1.363409	5.114289	1.43559
"ENSMUSG00000025915"	5.583173	6.988202	4.95656	2.275938	2.25488	2.517601	4.157533	6.750086	63.561256
"ENSMUSG00000025917"	12.874637	13.267963	10.400907	7.787594	7.817488	10.44655	8.601874	28.558174	16.358595
"ENSMUSG00000025921"	6.851706	5.851495	6.165399	1.615383	1.726816	2.158671	1.965852	3.366283	4.694921
"ENSMUSG00000025925"	7.21919	8.140937	6.498468	3.934567	5.729778	7.029371	6.59748	10.136766	5.242072
"ENSMUSG00000025929"	0	0	0	0	0	0	0	0	0
"ENSMUSG00000025930"	6.305269	4.7809	4.199375	0.104044	0.651633	2.229403	0.153425	0	0
"ENSMUSG00000025931"	1.64331	1.345251	1.636722	0.93882	1.006726	0.963882	1.596373	3.254809	0.466908
"ENSMUSG00000025934"	4.985478	11.695011	12.057308	0.5022	0.435102	0.458786	0	0	0
"ENSMUSG00000025935"	56.961277	58.010403	52.659672	10.145052	11.340887	14.086274	15.94274	57.329067	45.966648
"ENSMUSG00000025937"	5.424538	7.514269	4.851908	4.344043	5.02096	5.476365	1.613061	3.994295	2.297459
"ENSMUSG00000025938"	3.091422	1.766232	2.842927	1.146491	0.881668	0.954745	0.360284	0.849428	0
"ENSMUSG00000025949"	10.897713	11.788671	11.963371	6.060267	7.205283	7.509725	5.15213	8.717113	17.357517
"ENSMUSG00000025956"	4.53816	4.188043	5.858843	3.385177	2.645514	3.168067	1.548057	3.090543	4.129052
"ENSMUSG00000025958"	15.247267	15.101416	21.346325	13.232977	15.353395	15.787066	11.97638	19.397381	73.155998
"ENSMUSG00000025961"	0	0	0	0	0	0.202911	0	0	0
"ENSMUSG00000025963"	0	0	0	0	0	0	0	0	0
"ENSMUSG00000025969"	9.176745	9.626079	11.856251	6.402696	9.986477	8.503107	32.87228	40.917011	6.703162
"ENSMUSG00000025971"	1.886625	1.881266	2.521549	1.20219	1.780255	2.189099	1.220458	1.961203	1.031379
"ENSMUSG00000025977"	0	0	0	0	0	0	0.100873	0	0
"ENSMUSG00000025978"	9.091188	10.316753	12.652873	9.806617	11.073788	12.565598	0.444692	4.188682	4.052289
"ENSMUSG00000025979"	14.554784	15.27116	14.168915	9.071747	15.147415	12.990655	7.243406	28.122795	25.585281
"ENSMUSG00000025981"	36.832943	32.901211	24.011356	30.75676	35.449638	34.556107	14.613078	23.724051	113.945221
"ENSMUSG00000025982"	61.896851	57.379307	59.830311	56.979984	60.388546	63.087177	40.70356	76.556	254.691635
"ENSMUSG00000025983"	0	0.279037	0.146318	0	0	0.090354	0	0	0
"ENSMUSG00000025995"	11.804088	10.591788	10.035713	4.993786	5.473808	6.039442	4.096117	14.765057	6.176579
"ENSMUSG00000025997"	1.479867	1.814844	2.712024	1.45925	1.373413	0.748497	0.289886	0	0.22499
"ENSMUSG00000026000"	2.270949	3.554055	3.531791	2.714598	3.579723	3.138201	0.914339	1.224465	0.697329
"ENSMUSG00000026003"	15.395517	13.838904	15.126985	11.137105	12.253058	11.938897	7.80883	20.849695	21.718426
"ENSMUSG00000026004"	29.834152	21.013386	20.62611	18.125353	18.52693	21.703028	13.020488	19.273127	143.911789
"ENSMUSG00000026011"	0	0	0	0	0	0.041642	0	0	0.377662
"ENSMUSG00000026020"	34.165981	27.298464	24.669447	31.7295	20.452646	22.881535	7.660811	28.404858	10.438693
"ENSMUSG00000026023"	0	0	0.124443	2.121205	3.4976	3.793095	0	0	0
"ENSMUSG00000026024"	3.056144	3.037239	3.559061	2.45604	3.19531	1.940439	1.882741	4.858602	9.192541
"ENSMUSG00000026028"	13.88783	15.731426	15.813272	12.471393	16.793753	15.168818	8.22543	26.134443	14.419741
"ENSMUSG00000026029"	2.704948	3.801591	2.850789	1.356597	1.446595	2.529339	13.420089	29.041365	20.673765
"ENSMUSG00000026032"	7.101777	7.879777	9.080736	6.909157	6.602926	6.699596	3.902192	15.277818	9.647035
"ENSMUSG00000026036"	2.609438	2.686374	1.551326	1.488758	1.961843	2.312542	2.168994	5.280106	1.010341
"ENSMUSG00000026037"	4.942111	4.358476	4.142935	2.181168	3.356715	3.469361	3.009383	8.363701	2.381894
"ENSMUSG00000026039"	0.256071	0.370085	0.645934	0.314131	0	0.105472	3.437761	5.572567	0.711136
"ENSMUSG00000026042"	131.326492	137.962006	132.586349	9.56612	12.723109	13.442049	4.795054	5.396352	0.409118
"ENSMUSG00000026043"	930.830933	993.638123	927.503845	32.205421	47.514618	56.743404	11.94437	17.361414	0.381491
"ENSMUSG00000026047"	8.985992	9.268513	7.533596	4.44066	4.987137	5.230773	2.611429	9.272828	0.834654
"ENSMUSG00000026049"	4.614517	2.282073	2.427309	1.879628	2.462739	2.654944	4.134972	8.191898	10.68679
"ENSMUSG00000026058"	0	0	0	0	0	0	0	0	0
"ENSMUSG00000026062"	0	0	0	0.807042	1.050472	0.848718	0.049631	0	0
"ENSMUSG00000026069"	0	0	0	0	0	0	0	0.190698	5.629125
"ENSMUSG00000026072"	31.535276	26.567091	29.916445	9.50721	13.741282	10.057968	13.895933	16.374012	0.448697
"ENSMUSG00000026074"	62.183674	43.505203	54.912949	33.34906	37.749634	40.644096	35.257435	76.680061	51.690109
"ENSMUSG00000026078"	5.539845	4.150835	4.619981	3.321727	5.318452	4.003411	2.597167	7.32045	5.685964
"ENSMUSG00000026080"	1.605609	1.927756	1.369432	0.110125	0	0.095897	0	0.129837	0
"ENSMUSG00000026082"	13.616798	11.407774	19.668707	6.092017	7.109063	7.614065	3.911327	7.99985	13.512767
"ENSMUSG00000026083"	11.94076	11.921283	13.600104	7.652417	9.960462	9.085848	8.759274	22.420084	19.055712
"ENSMUSG00000026085"	0	0	0	0	0	0	0	0	0
"ENSMUSG00000026087"	6.70711	13.806679	15.386353	6.967755	8.166826	8.85598	5.722085	11.113694	17.131969
"ENSMUSG00000026088"	5.103016	7.729339	7.35558	3.674441	5.28527	4.006252	7.985141	18.695114	15.192076
"ENSMUSG00000026090"	0	0	0	0	0.168032	0.349545	0.286266	0.431955	0
"ENSMUSG00000026094"	7.640565	4.923072	4.380116	3.28897	3.576229	3.186324	4.602822	9.820115	400.669952
"ENSMUSG00000026095"	8.33842	7.951419	8.440644	2.500667	3.948852	2.902451	5.66475	11.299255	17.114433
"ENSMUSG00000026096"	7.201756	6.939883	4.536064	5.922508	4.934711	6.869598	1.67632	2.430854	2.611764
"ENSMUSG00000026097"	2.611753	3.466135	3.447583	1.235491	2.240683	2.017062	0.811866	3.050776	15.726311
"ENSMUSG00000026100"	0	0	0	0	0	0.126677	0	0	0
"ENSMUSG00000026107"	41.97036	26.72084	31.573803	13.03391	11.407379	11.531374	27.703478	38.81591	564.885437
"ENSMUSG00000026109"	11.757787	13.977169	13.820581	3.215894	3.447916	3.160293	0.341118	0.138687	0
"ENSMUSG00000026110"	6.195486	6.166067	4.631521	10.817035	19.441874	14.751412	25.423578	34.496815	43.904861
"ENSMUSG00000026111"	12.093789	15.109302	16.432217	6.9098	9.734075	10.664213	6.916728	18.93581	22.007338
"ENSMUSG00000026113"	9.979224	14.875216	13.361781	12.584149	14.968969	17.05484	4.847489	7.63143	35.513165
