Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand expressing cells,Delta ligand detection rate,Delta ligand expression,Delta ligand specificity,Delta receptor expressing cells,Delta receptor detection rate,Delta receptor expression,Delta receptor specificity,Delta edge expression weight,Delta edge specificity weight
M2,B2m,Gm11127,sCs,3.0,1.0,3409.239257666667,0.3768681357681173,3.0,1.0,0.019034,0.0502193832994298,64.89146003042733,0.0189260853634806
FAPs,Prn,Rpsa,M2,2.0,0.6666666666666666,0.385342,0.3681324227886678,3.0,1.0,165.0353776666667,0.1916416833738457,63.59506250082867,0.0705495172077125
ECs,Tff2,Cxcr4,M1,1.0,0.3333333333333333,0.3933726666666666,0.446441967401646,3.0,1.0,159.5522103333333,0.3808525843816961,62.76347845138422,0.1700285770613658
ECs,Angpt1,Itgb1,FAPs,2.0,0.6666666666666666,0.3626166666666666,0.0197007749557033,3.0,1.0,172.558497,0.290282124557779,62.57258698714999,0.0057187828095762
ECs,Angpt1,Itgb1,ECs,2.0,0.6666666666666666,0.3626166666666666,0.0197007749557033,3.0,1.0,163.7119853333333,0.2754003062401033,59.36469441495555,0.005425599455968
M2,Thbs1,Tnfrsf11b,ECs,3.0,1.0,694.886846,0.4500999653118942,1.0,0.3333333333333333,0.0824123333333333,0.0472700561286149,57.26724638150067,0.0212762506237808
FAPs,Serping1,Sele,FAPs,3.0,1.0,551.8375956666666,0.9130105136961888,1.0,0.3333333333333333,0.1018873333333333,0.0075309307934015,56.22526105555488,0.0068758189922939
M1,B2m,Gm11127,sCs,3.0,1.0,2676.771728333333,0.2958988486552321,3.0,1.0,0.019034,0.0502193832994298,50.94967307709666,0.014859857698477
FAPs,Osm,Osmr,FAPs,2.0,0.6666666666666666,0.8320383333333333,0.0133959547475872,3.0,1.0,60.87163533333334,0.5131705284627005,50.64753401002111,0.0068744091770817
M1,Thbs1,Tnfrsf11b,ECs,3.0,1.0,603.9765116666666,0.391214495590503,1.0,0.3333333333333333,0.0824123333333333,0.0472700561286149,49.77511360497722,0.0184927311648908
FAPs,Prn,Rpsa,sCs,2.0,0.6666666666666666,0.385342,0.3681324227886678,3.0,1.0,125.0343833333333,0.145191897885119,48.18099934243334,0.0534498451377336
M2,Plat,Lrp1,M1,2.0,0.6666666666666666,0.1930313333333333,0.0026541701182273,3.0,1.0,249.1329143333333,0.3875740210972192,48.09045863098245,0.0010286873853974
FAPs,Slitrk6,Ptprs,FAPs,2.0,0.6666666666666666,1.001626333333333,0.6971721743552812,3.0,1.0,47.585289,0.6536574461270807,47.662678541677,0.4557117829999369
M1,Ccl2,Ackr4,M2,3.0,1.0,381.646276,0.5069360811971936,1.0,0.3333333333333333,0.1217406666666667,0.2140616931775755,46.46187207109067,0.1085155958738762
FAPs,Tff2,Cxcr4,M2,1.0,0.3333333333333333,0.200085,0.2270781592541382,3.0,1.0,225.4475503333333,0.5381453632487492,45.108673108445,0.1222010584976755
FAPs,Adipoq,Adipor1,M2,2.0,0.6666666666666666,1.299053666666667,0.9617761002713195,3.0,1.0,34.47214733333333,0.2919090389624698,44.78116939124022,0.2807511371272729
FAPs,Adipoq,Adipor1,M1,2.0,0.6666666666666666,1.299053666666667,0.9617761002713195,3.0,1.0,33.33447066666667,0.282275229405861,43.30326634592578,0.2714855693411611
sCs,Gnai2,Fpr1,ECs,3.0,1.0,33.73857866666666,0.0534426884317384,2.0,0.6666666666666666,1.261960333333333,0.1357066639443231,42.57674798037955,0.007252528959287
FAPs,Prn,Rpsa,ECs,2.0,0.6666666666666666,0.385342,0.3681324227886678,3.0,1.0,108.2550863333333,0.125707513576898,41.71523147785933,0.0462770115358028
ECs,Timp3,Agtr2,sCs,3.0,1.0,91.20678233333332,0.6532435006323181,2.0,0.6666666666666666,0.446644,0.1823737695100498,40.73696208848934,0.1191344796182564
ECs,Angpt1,Itgb1,M1,2.0,0.6666666666666666,0.3626166666666666,0.0197007749557033,3.0,1.0,111.4881643333333,0.1875481171218523,40.42746652333889,0.0036948432487835
FAPs,Osm,Osmr,ECs,2.0,0.6666666666666666,0.8320383333333333,0.0133959547475872,3.0,1.0,48.38001766666667,0.4078615449886351,40.25402926601055,0.0054636947999487
M1,Il34,Csf1r,M2,2.0,0.6666666666666666,0.2083843333333333,0.020082632173941,3.0,1.0,189.9259493333334,0.6114863977842134,39.57759233452711,0.0122802564060685
FAPs,Cxcl12,Ackr3,M1,3.0,1.0,210.785085,0.5485223267879642,2.0,0.6666666666666666,0.186037,0.0060734177836984,39.213824858145,0.0033314052542696
FAPs,Tnc,Cntn1,sCs,3.0,1.0,346.747152,0.9082019830315988,2.0,0.6666666666666666,0.107282,0.4722016003849844,37.199727960864,0.4288544298603374
FAPs,Thbs2,Itga4,FAPs,3.0,1.0,269.5472716666666,0.9664221371420064,1.0,0.3333333333333333,0.137516,0.0017612820921839,37.06706261051333,0.0017021420036383
FAPs,Col1a1,Gp6,FAPs,3.0,1.0,3857.568359333333,0.9713288509301208,1.0,0.3333333333333333,0.0095113333333333,1.0,36.6906185217391,0.9713288509301208
FAPs,Adipoq,Adipor1,ECs,2.0,0.6666666666666666,1.299053666666667,0.9617761002713195,3.0,1.0,28.11518666666666,0.2380784997452468,36.5231363283511,0.2289782110434299
M2,Plat,Lrp1,M2,2.0,0.6666666666666666,0.1930313333333333,0.0026541701182273,3.0,1.0,186.9310863333334,0.2908071500393791,36.08355683637178,0.0007718516478013
ECs,Anxa1,Fpr1,ECs,3.0,1.0,28.49436566666666,0.048261889974218,2.0,0.6666666666666666,1.261960333333333,0.1357066639443231,35.95875919482855,0.0065494600840491
M2,Fn1,Itga4,FAPs,3.0,1.0,260.0315303333334,0.1325785352324417,1.0,0.3333333333333333,0.137516,0.0017612820921839,35.75849592531867,0.0002335081999128
FAPs,Gnai2,Agtr2,sCs,3.0,1.0,79.82725266666667,0.1264482133280045,2.0,0.6666666666666666,0.446644,0.1823737695100498,35.65436344005067,0.0230608373124391
M2,Plat,Lrp1,FAPs,2.0,0.6666666666666666,0.1930313333333333,0.0026541701182273,3.0,1.0,182.5316823333334,0.283963033503136,35.23433401637978,0.0007536861982052
FAPs,Serping1,Sele,M1,3.0,1.0,551.8375956666666,0.9130105136961888,1.0,0.3333333333333333,0.0629053333333333,0.0046496036000796,34.71352790127688,0.0042451369713924
M1,Fn1,Itga4,FAPs,3.0,1.0,251.007014,0.127977334927537,1.0,0.3333333333333333,0.137516,0.0017612820921839,34.517480537224,0.0002254041882132
ECs,B2m,Gm11127,sCs,3.0,1.0,1790.094238333333,0.1978827026976269,3.0,1.0,0.019034,0.0502193832994298,34.07265373243666,0.0099375472950992
FAPs,Ren1,Atp6ap2,M1,1.0,0.3333333333333333,0.4553436666666666,0.4250318144339519,3.0,1.0,72.27309166666666,0.4206417692519701,32.9090945608361,0.1787861344118726
